"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_biomass_stemwood","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_pri_biomass_stemwood_emi_co2_f_pow"
11,"DE",2070,"pow_combustion_ic_chp_syngas_06",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_biomass_stemwood"
12,"DE",2020,"pow_combustion_st_chp_biomass_03",63.258,0.0,0.0,331074.087198457,10038530.4267184,26.9634490832775,0.44,0.14,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,2.27272727272727,"global_emission_factors.pri_biomass_stemwood"
13,"DE",2021,"pow_combustion_st_chp_biomass_03",63.258,0.0,0.0,331074.087198457,10038530.4267184,26.9634490832775,0.44,0.14,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,2.27272727272727,"global_emission_factors.pri_biomass_stemwood"
14,"DE",2024,"pow_combustion_st_chp_biomass_03",78.118,0.0,0.0,313883.211142118,9880910.53794653,26.8948565719197,0.44,0.14,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,2.27272727272727,"global_emission_factors.pri_biomass_stemwood"
15,"DE",2027,"pow_combustion_st_chp_biomass_03",66.778,0.0,0.0,293343.103537093,9692582.17902779,26.8129004482428,0.44,0.14,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,2.27272727272727,"global_emission_factors.pri_biomass_stemwood"
16,"DE",2030,"pow_combustion_st_chp_biomass_03",25.14,0.0,0.0,320086.663484487,9937788.81832044,26.9196086772724,0.44,0.14,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,2.27272727272727,"global_emission_factors.pri_biomass_stemwood"
17,"DE",2035,"pow_combustion_st_chp_biomass_03",18.3,0.0,0.0,277196.0,9544532.44292575,26.7484726448468,0.44,0.14,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,2.27272727272727,"global_emission_factors.pri_biomass_stemwood"
18,"DE",2040,"pow_combustion_st_chp_biomass_03",18.3,0.0,0.0,277196.0,9544532.44292575,26.7484726448468,0.44,0.14,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,2.27272727272727,"global_emission_factors.pri_biomass_stemwood"
19,"DE",2045,"pow_combustion_st_chp_biomass_03",18.3,0.0,0.0,277196.0,9544532.44292575,26.7484726448468,0.44,0.14,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,2.27272727272727,"global_emission_factors.pri_biomass_stemwood"
20,"DE",2050,"pow_combustion_st_chp_biomass_03",18.3,0.0,0.0,277196.0,9544532.44292575,26.7484726448468,0.44,0.14,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,2.27272727272727,"global_emission_factors.pri_biomass_stemwood"
21,"DE",2060,"pow_combustion_st_chp_biomass_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_biomass_stemwood"
22,"DE",2070,"pow_combustion_st_chp_biomass_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_biomass_stemwood"
