"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_landfill_gas","conversion_factor_sec_elec","ef_pri_landfill_gas_emi_co2_f_pow"
26,"CH",2027,"pow_combustion_ic_biogas_02",5.03,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
27,"CH",2030,"pow_combustion_ic_biogas_02",5.03,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
28,"CH",2035,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
29,"CH",2040,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
30,"CH",2045,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
31,"CH",2050,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
32,"CH",2060,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
33,"CH",2070,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
34,"CZ",2020,"pow_combustion_ic_biogas_02",7.543,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
35,"CZ",2021,"pow_combustion_ic_biogas_02",7.543,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
36,"CZ",2024,"pow_combustion_ic_biogas_02",7.233,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
37,"CZ",2027,"pow_combustion_ic_biogas_02",3.573,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
38,"CZ",2030,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
39,"CZ",2035,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
40,"CZ",2040,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
41,"CZ",2045,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
42,"CZ",2050,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
43,"CZ",2060,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
44,"CZ",2070,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
45,"DE",2020,"pow_combustion_gt_biogas_02",0.065,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_landfill_gas"
46,"DE",2021,"pow_combustion_gt_biogas_02",0.065,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_landfill_gas"
47,"DE",2024,"pow_combustion_gt_biogas_02",0.065,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_landfill_gas"
48,"DE",2027,"pow_combustion_gt_biogas_02",0.065,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_landfill_gas"
49,"DE",2030,"pow_combustion_gt_biogas_02",0.065,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_landfill_gas"
50,"DE",2035,"pow_combustion_gt_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
51,"DE",2040,"pow_combustion_gt_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
52,"DE",2045,"pow_combustion_gt_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
53,"DE",2050,"pow_combustion_gt_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
54,"DE",2060,"pow_combustion_gt_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
55,"DE",2070,"pow_combustion_gt_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
56,"DE",2020,"pow_combustion_ic_biogas_02",26.252,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
57,"DE",2021,"pow_combustion_ic_biogas_02",25.942,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
58,"DE",2024,"pow_combustion_ic_biogas_02",15.758,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
59,"DE",2027,"pow_combustion_ic_biogas_02",12.648,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
60,"DE",2030,"pow_combustion_ic_biogas_02",8.473,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
61,"DE",2035,"pow_combustion_ic_biogas_02",3.866,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
62,"DE",2040,"pow_combustion_ic_biogas_02",0.867,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
63,"DE",2045,"pow_combustion_ic_biogas_02",0.556,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
64,"DE",2050,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
65,"DE",2060,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
66,"DE",2070,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
67,"EE",2020,"pow_combustion_ic_biogas_02",1.01,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
68,"EE",2021,"pow_combustion_ic_biogas_02",1.01,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
69,"EE",2024,"pow_combustion_ic_biogas_02",1.01,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
