"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_biomass_wood_chips_pp","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_pri_biomass_wood_chips_pp_emi_co2_f_pow"
1,"DE",2020,"pow_combustion_gt_chp_biomass_02",0.467,0.0,0.0,297298.0,6684157.90987698,9.79837973207078,0.0770551023727571,0.507494646680942,0.0,0.0,0.0,0,"","v1","","","",6.81902094828064,1.0,12.9777259286797,"global_emission_factors.pri_biomass_wood_chips_pp"
2,"DE",2021,"pow_combustion_gt_chp_biomass_02",0.467,0.0,0.0,297298.0,6684157.90987698,9.79837973207078,0.0770551023727571,0.507494646680942,0.0,0.0,0.0,0,"","v1","","","",6.81902094828064,1.0,12.9777259286797,"global_emission_factors.pri_biomass_wood_chips_pp"
3,"DE",2024,"pow_combustion_gt_chp_biomass_02",0.467,0.0,0.0,297298.0,6684157.90987698,9.79837973207078,0.0770551023727571,0.507494646680942,0.0,0.0,0.0,0,"","v1","","","",6.81902094828064,1.0,12.9777259286797,"global_emission_factors.pri_biomass_wood_chips_pp"
4,"DE",2027,"pow_combustion_gt_chp_biomass_02",0.467,0.0,0.0,297298.0,6684157.90987698,9.79837973207078,0.0770551023727571,0.507494646680942,0.0,0.0,0.0,0,"","v1","","","",6.81902094828064,1.0,12.9777259286797,"global_emission_factors.pri_biomass_wood_chips_pp"
5,"DE",2030,"pow_combustion_gt_chp_biomass_02",0.467,0.0,0.0,297298.0,6684157.90987698,9.79837973207078,0.0770551023727571,0.507494646680942,0.0,0.0,0.0,0,"","v1","","","",6.81902094828064,1.0,12.9777259286797,"global_emission_factors.pri_biomass_wood_chips_pp"
6,"DE",2035,"pow_combustion_gt_chp_biomass_02",0.467,0.0,0.0,297298.0,6684157.90987698,9.79837973207078,0.0770551023727571,0.507494646680942,0.0,0.0,0.0,0,"","v1","","","",6.81902094828064,1.0,12.9777259286797,"global_emission_factors.pri_biomass_wood_chips_pp"
7,"DE",2040,"pow_combustion_gt_chp_biomass_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_pp"
8,"DE",2045,"pow_combustion_gt_chp_biomass_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_pp"
9,"DE",2050,"pow_combustion_gt_chp_biomass_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_pp"
10,"DE",2060,"pow_combustion_gt_chp_biomass_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_pp"
11,"DE",2070,"pow_combustion_gt_chp_biomass_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_pp"
12,"DE",2020,"pow_combustion_ic_chp_syngas_07",7.1453,0.0,0.0,297298.0,6684157.90987698,9.79837973207078,0.151834315645897,1.0,0.0,0.0,0.0,0,"","v1","","","",6.81902094828063,1.0,6.58612643489742,"global_emission_factors.pri_biomass_wood_chips_pp"
13,"DE",2021,"pow_combustion_ic_chp_syngas_07",7.3273,0.0,0.0,297298.0,6684157.90987698,9.79837973207079,0.151834315645897,1.0,0.0,0.0,0.0,0,"","v1","","","",6.81902094828064,1.0,6.58612643489742,"global_emission_factors.pri_biomass_wood_chips_pp"
14,"DE",2024,"pow_combustion_ic_chp_syngas_07",7.3273,0.0,0.0,297298.0,6684157.90987698,9.79837973207079,0.151834315645897,1.0,0.0,0.0,0.0,0,"","v1","","","",6.81902094828064,1.0,6.58612643489742,"global_emission_factors.pri_biomass_wood_chips_pp"
15,"DE",2027,"pow_combustion_ic_chp_syngas_07",6.4273,0.0,0.0,297298.0,6684157.90987698,9.79837973207078,0.151834315645897,1.0,0.0,0.0,0.0,0,"","v1","","","",6.81902094828064,1.0,6.58612643489742,"global_emission_factors.pri_biomass_wood_chips_pp"
16,"DE",2030,"pow_combustion_ic_chp_syngas_07",6.1653,0.0,0.0,297298.0,6684157.90987698,9.79837973207078,0.151834315645897,1.0,0.0,0.0,0.0,0,"","v1","","","",6.81902094828064,1.0,6.58612643489742,"global_emission_factors.pri_biomass_wood_chips_pp"
17,"DE",2035,"pow_combustion_ic_chp_syngas_07",4.6953,0.0,0.0,297298.0,6684157.90987698,9.79837973207079,0.151834315645897,1.0,0.0,0.0,0.0,0,"","v1","","","",6.81902094828064,1.0,6.58612643489742,"global_emission_factors.pri_biomass_wood_chips_pp"
18,"DE",2040,"pow_combustion_ic_chp_syngas_07",1.7585,0.0,0.0,297298.0,6684157.90987698,9.79837973207078,0.151834315645897,1.0,0.0,0.0,0.0,0,"","v1","","","",6.81902094828064,1.0,6.58612643489742,"global_emission_factors.pri_biomass_wood_chips_pp"
