"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_sewage_gas","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_pri_sewage_gas_emi_co2_f_pow"
49,"DE",2030,"pow_combustion_gt_chp_biogas_02",0.155,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,1.0,"global_emission_factors.pri_sewage_gas"
50,"DE",2035,"pow_combustion_gt_chp_biogas_02",0.155,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,1.0,"global_emission_factors.pri_sewage_gas"
51,"DE",2040,"pow_combustion_gt_chp_biogas_02",0.095,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,1.0,"global_emission_factors.pri_sewage_gas"
52,"DE",2045,"pow_combustion_gt_chp_biogas_02",0.095,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,1.0,"global_emission_factors.pri_sewage_gas"
53,"DE",2050,"pow_combustion_gt_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas"
54,"DE",2060,"pow_combustion_gt_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas"
55,"DE",2070,"pow_combustion_gt_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas"
56,"DE",2020,"pow_combustion_ic_chp_biogas_02",58.43158,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas"
57,"DE",2021,"pow_combustion_ic_chp_biogas_02",59.00158,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas"
58,"DE",2024,"pow_combustion_ic_chp_biogas_02",51.32728,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas"
59,"DE",2027,"pow_combustion_ic_chp_biogas_02",40.62758,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas"
60,"DE",2030,"pow_combustion_ic_chp_biogas_02",34.66058,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas"
61,"DE",2035,"pow_combustion_ic_chp_biogas_02",26.01858,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas"
62,"DE",2040,"pow_combustion_ic_chp_biogas_02",13.99706,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas"
63,"DE",2045,"pow_combustion_ic_chp_biogas_02",11.772,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas"
64,"DE",2050,"pow_combustion_ic_chp_biogas_02",0.963,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas"
65,"DE",2060,"pow_combustion_ic_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas"
66,"DE",2070,"pow_combustion_ic_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas"
