"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_sec_natural_gas_syn","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_sec_natural_gas_syn_emi_co2_f_pow"
23,"DE",2020,"pow_combustion_st_chp_biogas_02",0.274,0.0,0.0,67797.5299776009,2997981.59746316,5.08690336547872,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",7.69230769230769,1.0,1.0,"global_emission_factors.sec_natural_gas_syn"
24,"DE",2021,"pow_combustion_st_chp_biogas_02",0.274,0.0,0.0,67797.5299776009,2997981.59746316,5.08690336547872,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",7.69230769230769,1.0,1.0,"global_emission_factors.sec_natural_gas_syn"
25,"DE",2024,"pow_combustion_st_chp_biogas_02",0.274,0.0,0.0,67797.5299776009,2997981.59746316,5.08690336547872,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",7.69230769230769,1.0,1.0,"global_emission_factors.sec_natural_gas_syn"
26,"DE",2027,"pow_combustion_st_chp_biogas_02",0.274,0.0,0.0,67797.5299776009,2997981.59746316,5.08690336547872,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",7.69230769230769,1.0,1.0,"global_emission_factors.sec_natural_gas_syn"
27,"DE",2030,"pow_combustion_st_chp_biogas_02",0.274,0.0,0.0,67797.5299776009,2997981.59746316,5.08690336547872,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",7.69230769230769,1.0,1.0,"global_emission_factors.sec_natural_gas_syn"
28,"DE",2035,"pow_combustion_st_chp_biogas_02",0.274,0.0,0.0,67797.5299776009,2997981.59746316,5.08690336547872,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",7.69230769230769,1.0,1.0,"global_emission_factors.sec_natural_gas_syn"
29,"DE",2040,"pow_combustion_st_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.sec_natural_gas_syn"
30,"DE",2045,"pow_combustion_st_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.sec_natural_gas_syn"
31,"DE",2050,"pow_combustion_st_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.sec_natural_gas_syn"
32,"DE",2060,"pow_combustion_st_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.sec_natural_gas_syn"
33,"DE",2070,"pow_combustion_st_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.sec_natural_gas_syn"
