"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_waste_wood","conversion_factor_sec_elec","ef_pri_waste_wood_emi_co2_f_pow"
29,"DE",2040,"pow_combustion_st_biomass_011",0.45,0.0,0.0,50220.3925760007,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,"global_emission_factors.pri_waste_wood"
30,"DE",2045,"pow_combustion_st_biomass_011",0.45,0.0,0.0,50220.3925760007,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,"global_emission_factors.pri_waste_wood"
31,"DE",2050,"pow_combustion_st_biomass_011",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_wood"
32,"DE",2060,"pow_combustion_st_biomass_011",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_wood"
33,"DE",2070,"pow_combustion_st_biomass_011",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_wood"
34,"SE",2020,"pow_combustion_st_biomass_011",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_wood"
35,"SE",2021,"pow_combustion_st_biomass_011",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_wood"
36,"SE",2024,"pow_combustion_st_biomass_011",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_wood"
37,"SE",2027,"pow_combustion_st_biomass_011",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_wood"
38,"SE",2030,"pow_combustion_st_biomass_011",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_wood"
39,"SE",2035,"pow_combustion_st_biomass_011",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_wood"
40,"SE",2040,"pow_combustion_st_biomass_011",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_wood"
41,"SE",2045,"pow_combustion_st_biomass_011",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_wood"
42,"SE",2050,"pow_combustion_st_biomass_011",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_wood"
43,"SE",2060,"pow_combustion_st_biomass_011",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_wood"
44,"SE",2070,"pow_combustion_st_biomass_011",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_wood"
