"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_waste_wood","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_pri_waste_wood_emi_co2_f_pow"
1,"DE",2020,"pow_combustion_st_chp_biomass_010",546.573,0.0,0.0,231345.068991699,7645708.08151343,20.2241883283901,0.551716458734698,0.142792911468367,0.0,0.0,0.0,0,"","v1","","","",2.28113254936292,1.0,1.81252522771097,"global_emission_factors.pri_waste_wood"
2,"DE",2021,"pow_combustion_st_chp_biomass_010",546.573,0.0,0.0,231345.068991699,7645708.08151343,20.2241883283901,0.551716458734698,0.142792911468367,0.0,0.0,0.0,0,"","v1","","","",2.28113254936292,1.0,1.81252522771097,"global_emission_factors.pri_waste_wood"
3,"DE",2024,"pow_combustion_st_chp_biomass_010",473.501,0.0,0.0,235502.17156458,7729253.10725214,20.4356331377601,0.548283615029324,0.142707090375733,0.0,0.0,0.0,0,"","v1","","","",2.28247306374146,1.0,1.82387358036683,"global_emission_factors.pri_waste_wood"
4,"DE",2027,"pow_combustion_st_chp_biomass_010",365.226,0.0,0.0,246311.157716044,8121045.08824633,21.734166566765,0.526166921303522,0.142154173032588,0.0,0.0,0.0,0,"","v1","","","",2.29114747829242,1.0,1.90053756614461,"global_emission_factors.pri_waste_wood"
5,"DE",2030,"pow_combustion_st_chp_biomass_010",116.95,0.0,0.0,260704.498503634,8777749.86294388,24.0423156704364,0.486515604959384,0.141162890123985,0.0,0.0,0.0,0,"","v1","","","",2.30686536545915,1.0,2.05543252838413,"global_emission_factors.pri_waste_wood"
6,"DE",2035,"pow_combustion_st_chp_biomass_010",47.95,0.0,0.0,275200.252346194,8852817.54392812,23.8520594369022,0.490886339937435,0.141272158498436,0.0,0.0,0.0,0,"","v1","","","",2.30512222676249,1.0,2.03713144702184,"global_emission_factors.pri_waste_wood"
7,"DE",2040,"pow_combustion_st_chp_biomass_010",26.35,0.0,0.0,300229.081593928,9755718.40849316,26.8403758675597,0.44,0.14,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,2.27272727272727,"global_emission_factors.pri_waste_wood"
8,"DE",2045,"pow_combustion_st_chp_biomass_010",26.35,0.0,0.0,300229.081593928,9755718.40849316,26.8403758675597,0.44,0.14,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,2.27272727272727,"global_emission_factors.pri_waste_wood"
9,"DE",2050,"pow_combustion_st_chp_biomass_010",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_wood"
10,"DE",2060,"pow_combustion_st_chp_biomass_010",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_wood"
11,"DE",2070,"pow_combustion_st_chp_biomass_010",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_waste_wood"
