"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_sewage_gas","conversion_factor_sec_biogas","conversion_factor_sec_natural_gas_syn","conversion_factor_sec_elec","ef_pri_sewage_gas_emi_co2_f_pow","ef_sec_biogas_emi_co2_f_pow","ef_sec_natural_gas_syn_emi_co2_f_pow"
16,"BE",2030,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
17,"BE",2035,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
18,"BE",2040,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
19,"BE",2045,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
20,"BE",2050,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
21,"BE",2060,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
22,"BE",2070,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
23,"FR",2020,"pow_combustion_st_biogas_0_ag",8.4,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,2.66233766233766,2.66233766233766,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
24,"FR",2021,"pow_combustion_st_biogas_0_ag",8.4,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,2.66233766233766,2.66233766233766,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
25,"FR",2024,"pow_combustion_st_biogas_0_ag",8.4,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,2.66233766233766,2.66233766233766,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
26,"FR",2027,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
27,"FR",2030,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
28,"FR",2035,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
29,"FR",2040,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
30,"FR",2045,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
31,"FR",2050,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
32,"FR",2060,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
33,"FR",2070,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
34,"GB",2020,"pow_combustion_st_biogas_0_ag",22.6,0.0,0.0,30502.37674657,555181.777307992,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,2.66233766233766,2.66233766233766,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
35,"GB",2021,"pow_combustion_st_biogas_0_ag",22.6,0.0,0.0,30502.37674657,555181.777307992,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,2.66233766233766,2.66233766233766,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
36,"GB",2024,"pow_combustion_st_biogas_0_ag",9.1,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,2.66233766233766,2.66233766233766,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
