"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_marine","conversion_factor_sec_elec"
35,"GB",2021,"pow_marine_0",48.3,0.0,0.0,41936.3066478077,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
36,"GB",2024,"pow_marine_0",48.3,0.0,0.0,41936.3066478077,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
37,"GB",2027,"pow_marine_0",47.8,0.0,0.0,41936.3066478077,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
38,"GB",2030,"pow_marine_0",47.5,0.0,0.0,41936.3066478077,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
39,"GB",2035,"pow_marine_0",21.3,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
40,"GB",2040,"pow_marine_0",16.5,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
41,"GB",2045,"pow_marine_0",10.5,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
42,"GB",2050,"pow_marine_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
43,"GB",2060,"pow_marine_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
44,"GB",2070,"pow_marine_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
45,"PT",2020,"pow_marine_0",0.3,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
46,"PT",2021,"pow_marine_0",0.3,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
47,"PT",2024,"pow_marine_0",0.3,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
48,"PT",2027,"pow_marine_0",0.3,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
49,"PT",2030,"pow_marine_0",0.3,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
50,"PT",2035,"pow_marine_0",0.3,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
51,"PT",2040,"pow_marine_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
52,"PT",2045,"pow_marine_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
53,"PT",2050,"pow_marine_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
54,"PT",2060,"pow_marine_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
55,"PT",2070,"pow_marine_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
56,"SE",2020,"pow_marine_0",10.0,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
57,"SE",2021,"pow_marine_0",10.0,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
58,"SE",2024,"pow_marine_0",10.0,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
59,"SE",2027,"pow_marine_0",10.0,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
60,"SE",2030,"pow_marine_0",10.0,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
61,"SE",2035,"pow_marine_0",10.0,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
62,"SE",2040,"pow_marine_0",10.0,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
63,"SE",2045,"pow_marine_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
64,"SE",2050,"pow_marine_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
65,"SE",2060,"pow_marine_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
66,"SE",2070,"pow_marine_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
67,"DK",2020,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
68,"DK",2021,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
69,"DK",2024,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
70,"DK",2027,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
71,"DK",2030,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
72,"DK",2035,"pow_marine_1",0.0,0.5,0.0,35245.7161716172,2817983.0,0.110083804143126,0.0,0.0,0.0,25,"","v1","","","",1.0,1.0
73,"DK",2040,"pow_marine_1",0.0,0.5,0.0,35245.7161716172,2817983.0,0.110083804143126,0.0,0.0,0.0,25,"","v1","","","",1.0,1.0
74,"DK",2045,"pow_marine_1",0.0,0.5,0.0,35245.7161716172,2817983.0,0.110083804143126,0.0,0.0,0.0,25,"","v1","","","",1.0,1.0
75,"DK",2050,"pow_marine_1",0.0,0.5,0.0,35245.7161716172,2817983.0,0.110083804143126,0.0,0.0,0.0,25,"","v1","","","",1.0,1.0
76,"DK",2060,"pow_marine_1",0.0,0.5,0.0,35245.7161716172,2817983.0,0.110083804143126,0.0,0.0,0.0,25,"","v1","","","",1.0,1.0
77,"DK",2070,"pow_marine_1",0.0,0.5,0.0,35245.7161716172,2817983.0,0.110083804143126,0.0,0.0,0.0,25,"","v1","","","",1.0,1.0
78,"ES",2020,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
79,"ES",2021,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
80,"ES",2024,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
81,"ES",2027,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
82,"ES",2030,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
83,"ES",2035,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
84,"ES",2040,"pow_marine_1",0.0,0.3,0.0,32438.5493635078,2635874.75,0.110083804143126,0.0,0.0,0.0,25,"","v1","","","",1.0,1.0
85,"ES",2045,"pow_marine_1",0.0,0.3,0.0,32438.5493635078,2635874.75,0.110083804143126,0.0,0.0,0.0,25,"","v1","","","",1.0,1.0
86,"ES",2050,"pow_marine_1",0.0,0.3,0.0,32438.5493635078,2635874.75,0.110083804143126,0.0,0.0,0.0,25,"","v1","","","",1.0,1.0
87,"ES",2060,"pow_marine_1",0.0,0.3,0.0,32438.5493635078,2635874.75,0.110083804143126,0.0,0.0,0.0,25,"","v1","","","",1.0,1.0
88,"ES",2070,"pow_marine_1",0.0,0.3,0.0,32438.5493635078,2635874.75,0.110083804143126,0.0,0.0,0.0,25,"","v1","","","",1.0,1.0
89,"FR",2020,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
90,"FR",2021,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
91,"FR",2024,"pow_marine_1",0.0,20.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,57,"","v1","","","",1.0,1.0
92,"FR",2027,"pow_marine_1",0.0,20.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,57,"","v1","","","",1.0,1.0
93,"FR",2030,"pow_marine_1",0.0,20.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,57,"","v1","","","",1.0,1.0
94,"FR",2035,"pow_marine_1",0.0,20.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,57,"","v1","","","",1.0,1.0
