"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_sewage_sludge","conversion_factor_sec_elec","ef_pri_sewage_sludge_emi_co2_f_pow"
28,"DE",2035,"pow_combustion_ic_syngas_010",3.6715,0.0,0.0,49514.4,2470370.59146842,5.46030446074593,0.0,0.0,0.0,0,"","v1","","","",2.17391304347826,1.0,"global_emission_factors.pri_sewage_sludge"
29,"DE",2040,"pow_combustion_ic_syngas_010",1.9045,0.0,0.0,49514.4,2470370.59146842,5.46030446074593,0.0,0.0,0.0,0,"","v1","","","",2.17391304347826,1.0,"global_emission_factors.pri_sewage_sludge"
30,"DE",2045,"pow_combustion_ic_syngas_010",1.3395,0.0,0.0,49514.4,2470370.59146842,5.46030446074593,0.0,0.0,0.0,0,"","v1","","","",2.17391304347826,1.0,"global_emission_factors.pri_sewage_sludge"
31,"DE",2050,"pow_combustion_ic_syngas_010",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_sludge"
32,"DE",2060,"pow_combustion_ic_syngas_010",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_sludge"
33,"DE",2070,"pow_combustion_ic_syngas_010",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_sludge"
34,"DE",2020,"pow_combustion_st_biomass_09",2.36,0.0,0.0,50220.3925760006,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,"global_emission_factors.pri_sewage_sludge"
35,"DE",2021,"pow_combustion_st_biomass_09",2.36,0.0,0.0,50220.3925760006,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,"global_emission_factors.pri_sewage_sludge"
36,"DE",2024,"pow_combustion_st_biomass_09",1.36,0.0,0.0,50220.3925760007,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,"global_emission_factors.pri_sewage_sludge"
37,"DE",2027,"pow_combustion_st_biomass_09",1.36,0.0,0.0,50220.3925760007,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,"global_emission_factors.pri_sewage_sludge"
38,"DE",2030,"pow_combustion_st_biomass_09",1.36,0.0,0.0,50220.3925760007,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,"global_emission_factors.pri_sewage_sludge"
39,"DE",2035,"pow_combustion_st_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_sludge"
40,"DE",2040,"pow_combustion_st_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_sludge"
41,"DE",2045,"pow_combustion_st_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_sludge"
42,"DE",2050,"pow_combustion_st_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_sludge"
43,"DE",2060,"pow_combustion_st_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_sludge"
44,"DE",2070,"pow_combustion_st_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_sludge"
45,"GB",2020,"pow_combustion_st_biomass_09",17.0,0.0,0.0,50220.3925760007,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,"global_emission_factors.pri_sewage_sludge"
46,"GB",2021,"pow_combustion_st_biomass_09",17.0,0.0,0.0,50220.3925760007,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,"global_emission_factors.pri_sewage_sludge"
47,"GB",2024,"pow_combustion_st_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_sludge"
48,"GB",2027,"pow_combustion_st_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_sludge"
49,"GB",2030,"pow_combustion_st_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_sludge"
50,"GB",2035,"pow_combustion_st_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_sludge"
51,"GB",2040,"pow_combustion_st_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_sludge"
52,"GB",2045,"pow_combustion_st_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_sludge"
53,"GB",2050,"pow_combustion_st_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_sludge"
54,"GB",2060,"pow_combustion_st_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_sludge"
55,"GB",2070,"pow_combustion_st_biomass_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_sewage_sludge"
