"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_landfill_gas","conversion_factor_sec_biogas","conversion_factor_sec_elec","ef_pri_landfill_gas_emi_co2_f_pow","ef_sec_biogas_emi_co2_f_pow"
20,"AT",2050,"pow_combustion_fc_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas"
21,"AT",2060,"pow_combustion_fc_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas"
22,"AT",2070,"pow_combustion_fc_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas"
23,"FI",2020,"pow_combustion_fc_biogas_0_ag",0.02,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,2.66233766233766,1.0,"global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas"
24,"FI",2021,"pow_combustion_fc_biogas_0_ag",0.02,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,2.66233766233766,1.0,"global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas"
25,"FI",2024,"pow_combustion_fc_biogas_0_ag",0.02,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,2.66233766233766,1.0,"global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas"
26,"FI",2027,"pow_combustion_fc_biogas_0_ag",0.02,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,2.66233766233766,1.0,"global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas"
27,"FI",2030,"pow_combustion_fc_biogas_0_ag",0.02,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,2.66233766233766,1.0,"global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas"
28,"FI",2035,"pow_combustion_fc_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas"
29,"FI",2040,"pow_combustion_fc_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas"
30,"FI",2045,"pow_combustion_fc_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas"
31,"FI",2050,"pow_combustion_fc_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas"
32,"FI",2060,"pow_combustion_fc_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas"
33,"FI",2070,"pow_combustion_fc_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas"
