"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_lignite","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_pri_lignite_emi_co2_f_pow"
16,"DE",2030,"pow_combustion_cc_chp_lignite_0",5188.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.43651866193421,1.0,1.33333333333333,"global_emission_factors.pri_lignite"
17,"DE",2035,"pow_combustion_cc_chp_lignite_0",5152.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.42782098118934,1.0,1.33333333333333,"global_emission_factors.pri_lignite"
18,"DE",2040,"pow_combustion_cc_chp_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_lignite"
19,"DE",2045,"pow_combustion_cc_chp_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_lignite"
20,"DE",2050,"pow_combustion_cc_chp_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_lignite"
21,"DE",2060,"pow_combustion_cc_chp_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_lignite"
22,"DE",2070,"pow_combustion_cc_chp_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_lignite"
23,"DE",2020,"pow_combustion_st_chp_lignite_0",2918.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.74996607307107,1.0,1.33333333333333,"global_emission_factors.pri_lignite"
24,"DE",2021,"pow_combustion_st_chp_lignite_0",2918.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.74996607307107,1.0,1.33333333333333,"global_emission_factors.pri_lignite"
25,"DE",2024,"pow_combustion_st_chp_lignite_0",1765.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.74810824276773,1.0,1.33333333333333,"global_emission_factors.pri_lignite"
26,"DE",2027,"pow_combustion_st_chp_lignite_0",1765.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.74810824276773,1.0,1.33333333333333,"global_emission_factors.pri_lignite"
27,"DE",2030,"pow_combustion_st_chp_lignite_0",19.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.63157894736842,1.0,1.33333333333333,"global_emission_factors.pri_lignite"
28,"DE",2035,"pow_combustion_st_chp_lignite_0",19.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.63157894736842,1.0,1.33333333333333,"global_emission_factors.pri_lignite"
29,"DE",2040,"pow_combustion_st_chp_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_lignite"
30,"DE",2045,"pow_combustion_st_chp_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_lignite"
31,"DE",2050,"pow_combustion_st_chp_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_lignite"
32,"DE",2060,"pow_combustion_st_chp_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_lignite"
33,"DE",2070,"pow_combustion_st_chp_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_lignite"
34,"GR",2020,"pow_combustion_st_chp_lignite_0",585.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.78551532033426,1.0,1.33333333333333,"global_emission_factors.pri_lignite"
35,"GR",2021,"pow_combustion_st_chp_lignite_0",585.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.78551532033426,1.0,1.33333333333333,"global_emission_factors.pri_lignite"
36,"GR",2024,"pow_combustion_st_chp_lignite_0",585.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.78551532033426,1.0,1.33333333333333,"global_emission_factors.pri_lignite"
37,"GR",2027,"pow_combustion_st_chp_lignite_0",585.0,0.0,0.0,33327.0,2041940.0,3.3,0.75,0.15,0.0,0.0,0.0,0,"","v1","","","",2.78551532033426,1.0,1.33333333333333,"global_emission_factors.pri_lignite"
38,"GR",2030,"pow_combustion_st_chp_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_lignite"
39,"GR",2035,"pow_combustion_st_chp_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_lignite"
40,"GR",2040,"pow_combustion_st_chp_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_lignite"
41,"GR",2045,"pow_combustion_st_chp_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_lignite"
42,"GR",2050,"pow_combustion_st_chp_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_lignite"
43,"GR",2060,"pow_combustion_st_chp_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_lignite"
44,"GR",2070,"pow_combustion_st_chp_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_lignite"
