"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_waste_non_bio","conversion_factor_sec_elec","ef_pri_waste_non_bio_emi_co2_f_pow"
27,"HU",2030,"pow_combustion_st_waste_04",7.4,0.0,0.0,434838.0,10989922.1033676,27.3774726236741,0.0,0.0,0.0,0,"","v1","","","",4.39970486724871,1.0,"global_emission_factors.pri_waste_non_bio"
28,"HU",2035,"pow_combustion_st_waste_04",7.4,0.0,0.0,434838.0,10989922.1033676,27.3774726236741,0.0,0.0,0.0,0,"","v1","","","",4.39970486724871,1.0,"global_emission_factors.pri_waste_non_bio"
29,"HU",2040,"pow_combustion_st_waste_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_non_bio"
30,"HU",2045,"pow_combustion_st_waste_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_non_bio"
31,"HU",2050,"pow_combustion_st_waste_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_non_bio"
32,"HU",2060,"pow_combustion_st_waste_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_non_bio"
33,"HU",2070,"pow_combustion_st_waste_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_non_bio"
34,"PT",2020,"pow_combustion_st_waste_04",3.6,0.0,0.0,434838.0,10989922.1033676,27.3774726236741,0.0,0.0,0.0,0,"","v1","","","",4.39970486724871,1.0,"global_emission_factors.pri_waste_non_bio"
35,"PT",2021,"pow_combustion_st_waste_04",3.6,0.0,0.0,434838.0,10989922.1033676,27.3774726236741,0.0,0.0,0.0,0,"","v1","","","",4.39970486724871,1.0,"global_emission_factors.pri_waste_non_bio"
36,"PT",2024,"pow_combustion_st_waste_04",3.6,0.0,0.0,434838.0,10989922.1033676,27.3774726236741,0.0,0.0,0.0,0,"","v1","","","",4.39970486724871,1.0,"global_emission_factors.pri_waste_non_bio"
37,"PT",2027,"pow_combustion_st_waste_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_non_bio"
38,"PT",2030,"pow_combustion_st_waste_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_non_bio"
39,"PT",2035,"pow_combustion_st_waste_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_non_bio"
40,"PT",2040,"pow_combustion_st_waste_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_non_bio"
41,"PT",2045,"pow_combustion_st_waste_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_non_bio"
42,"PT",2050,"pow_combustion_st_waste_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_non_bio"
43,"PT",2060,"pow_combustion_st_waste_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_non_bio"
44,"PT",2070,"pow_combustion_st_waste_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_waste_non_bio"
