"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_cbm","conversion_factor_sec_elec","ef_pri_cbm_emi_co2_f_pow"
31,"DE",2050,"pow_combustion_gt_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
32,"DE",2060,"pow_combustion_gt_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
33,"DE",2070,"pow_combustion_gt_methane_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
34,"DE",2020,"pow_combustion_ic_methane_02",144.6965,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
35,"DE",2021,"pow_combustion_ic_methane_02",144.6965,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
36,"DE",2024,"pow_combustion_ic_methane_02",142.5275,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
37,"DE",2027,"pow_combustion_ic_methane_02",74.2525,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
38,"DE",2030,"pow_combustion_ic_methane_02",30.1805,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
39,"DE",2035,"pow_combustion_ic_methane_02",8.5985,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
40,"DE",2040,"pow_combustion_ic_methane_02",6.75,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
41,"DE",2045,"pow_combustion_ic_methane_02",6.75,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
42,"DE",2050,"pow_combustion_ic_methane_02",6.75,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
43,"DE",2060,"pow_combustion_ic_methane_02",6.75,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
44,"DE",2070,"pow_combustion_ic_methane_02",6.75,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
45,"DE",2020,"pow_combustion_st_methane_02",0.294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
46,"DE",2021,"pow_combustion_st_methane_02",0.294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
47,"DE",2024,"pow_combustion_st_methane_02",0.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
48,"DE",2027,"pow_combustion_st_methane_02",0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
49,"DE",2030,"pow_combustion_st_methane_02",0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
50,"DE",2035,"pow_combustion_st_methane_02",0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
51,"DE",2040,"pow_combustion_st_methane_02",0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
52,"DE",2045,"pow_combustion_st_methane_02",0.2082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
53,"DE",2050,"pow_combustion_st_methane_02",0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
54,"DE",2060,"pow_combustion_st_methane_02",0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
