"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_biomass_stemwood","conversion_factor_pri_biomass_pellets_pp","conversion_factor_pri_biomass_wood_chips_pp","conversion_factor_pri_biomass_wood_chips_pr","conversion_factor_pri_biomass_wood_chips_sr","conversion_factor_sec_elec","ef_pri_biomass_stemwood_emi_co2_f_pow","ef_pri_biomass_pellets_pp_emi_co2_f_pow","ef_pri_biomass_wood_chips_pp_emi_co2_f_pow","ef_pri_biomass_wood_chips_pr_emi_co2_f_pow","ef_pri_biomass_wood_chips_sr_emi_co2_f_pow"
13,"BE",2021,"pow_combustion_st_biomass_03",909.5,0.0,0.0,57931.5025629379,2272949.36747921,1.2482707627566,0.0,0.0,0.0,0,"","v1","","","",2.28598965657113,2.28598965657113,2.28598965657113,2.28598965657113,2.28598965657113,1.0,"global_emission_factors.pri_biomass_stemwood","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
14,"BE",2024,"pow_combustion_st_biomass_03",909.5,0.0,0.0,57931.5025629379,2272949.36747921,1.2482707627566,0.0,0.0,0.0,0,"","v1","","","",2.28598965657113,2.28598965657113,2.28598965657113,2.28598965657113,2.28598965657113,1.0,"global_emission_factors.pri_biomass_stemwood","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
15,"BE",2027,"pow_combustion_st_biomass_03",909.5,0.0,0.0,57931.5025629379,2272949.36747921,1.2482707627566,0.0,0.0,0.0,0,"","v1","","","",2.28598965657113,2.28598965657113,2.28598965657113,2.28598965657113,2.28598965657113,1.0,"global_emission_factors.pri_biomass_stemwood","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
16,"BE",2030,"pow_combustion_st_biomass_03",909.5,0.0,0.0,57931.5025629379,2272949.36747921,1.2482707627566,0.0,0.0,0.0,0,"","v1","","","",2.28598965657113,2.28598965657113,2.28598965657113,2.28598965657113,2.28598965657113,1.0,"global_emission_factors.pri_biomass_stemwood","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
17,"BE",2035,"pow_combustion_st_biomass_03",880.0,0.0,0.0,58190.0,2274700.0,1.1638,0.0,0.0,0.0,0,"","v1","","","",2.23713646532438,2.23713646532438,2.23713646532438,2.23713646532438,2.23713646532438,1.0,"global_emission_factors.pri_biomass_stemwood","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
18,"BE",2040,"pow_combustion_st_biomass_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_biomass_stemwood","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
19,"BE",2045,"pow_combustion_st_biomass_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_biomass_stemwood","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
20,"BE",2050,"pow_combustion_st_biomass_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_biomass_stemwood","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
21,"BE",2060,"pow_combustion_st_biomass_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_biomass_stemwood","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
22,"BE",2070,"pow_combustion_st_biomass_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_biomass_stemwood","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
23,"CH",2020,"pow_combustion_st_biomass_03",12.25,0.0,0.0,52013.9780251435,2300038.79170454,3.90265073012918,0.0,0.0,0.0,0,"","v1","","","",6.65819143397989,6.65819143397989,6.65819143397989,6.65819143397989,6.65819143397989,1.0,"global_emission_factors.pri_biomass_stemwood","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
24,"CH",2021,"pow_combustion_st_biomass_03",12.25,0.0,0.0,52013.9780251435,2300038.79170454,3.90265073012918,0.0,0.0,0.0,0,"","v1","","","",6.65819143397989,6.65819143397989,6.65819143397989,6.65819143397989,6.65819143397989,1.0,"global_emission_factors.pri_biomass_stemwood","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
25,"CH",2024,"pow_combustion_st_biomass_03",11.95,0.0,0.0,51617.7382271739,2282517.21499093,3.87292053844676,0.0,0.0,0.0,0,"","v1","","","",6.63579601996345,6.63579601996345,6.63579601996345,6.63579601996345,6.63579601996345,1.0,"global_emission_factors.pri_biomass_stemwood","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
26,"CH",2027,"pow_combustion_st_biomass_03",11.63,0.0,0.0,51172.5504919945,2262831.17867184,3.83951774354993,0.0,0.0,0.0,0,"","v1","","","",6.61081312305092,6.61081312305092,6.61081312305092,6.61081312305092,6.61081312305092,1.0,"global_emission_factors.pri_biomass_stemwood","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
27,"CH",2030,"pow_combustion_st_biomass_03",6.83,0.0,0.0,51841.7097887398,2292421.15426647,3.88972530538558,0.0,0.0,0.0,0,"","v1","","","",6.64843631221177,6.64843631221177,6.64843631221177,6.64843631221177,6.64843631221177,1.0,"global_emission_factors.pri_biomass_stemwood","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
28,"CH",2035,"pow_combustion_st_biomass_03",6.2,0.0,0.0,50220.3925760007,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,6.55800661979717,6.55800661979717,6.55800661979717,6.55800661979717,1.0,"global_emission_factors.pri_biomass_stemwood","global_emission_factors.pri_biomass_pellets_pp","global_emission_factors.pri_biomass_wood_chips_pp","global_emission_factors.pri_biomass_wood_chips_pr","global_emission_factors.pri_biomass_wood_chips_sr"
