"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_sewage_sludge","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_pri_sewage_sludge_emi_co2_f_pow"
24,"DE",2021,"pow_combustion_ic_chp_syngas_09",25.40423,0.0,0.0,50220.3925760006,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,1.0,"global_emission_factors.pri_sewage_sludge"
25,"DE",2024,"pow_combustion_ic_chp_syngas_09",22.20823,0.0,0.0,50220.3925760007,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,1.0,"global_emission_factors.pri_sewage_sludge"
26,"DE",2027,"pow_combustion_ic_chp_syngas_09",19.27923,0.0,0.0,50220.3925760006,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,1.0,"global_emission_factors.pri_sewage_sludge"
27,"DE",2030,"pow_combustion_ic_chp_syngas_09",16.07023,0.0,0.0,50220.3925760007,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,1.0,"global_emission_factors.pri_sewage_sludge"
28,"DE",2035,"pow_combustion_ic_chp_syngas_09",13.50773,0.0,0.0,50220.3925760007,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,1.0,"global_emission_factors.pri_sewage_sludge"
29,"DE",2040,"pow_combustion_ic_chp_syngas_09",8.5248,0.0,0.0,50220.3925760007,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,1.0,"global_emission_factors.pri_sewage_sludge"
30,"DE",2045,"pow_combustion_ic_chp_syngas_09",7.693,0.0,0.0,50220.3925760006,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,1.0,"global_emission_factors.pri_sewage_sludge"
31,"DE",2050,"pow_combustion_ic_chp_syngas_09",2.215,0.0,0.0,50220.3925760007,2220727.10923197,3.76807656702128,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",6.55800661979717,1.0,1.0,"global_emission_factors.pri_sewage_sludge"
32,"DE",2060,"pow_combustion_ic_chp_syngas_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_sludge"
33,"DE",2070,"pow_combustion_ic_chp_syngas_09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_sludge"
34,"DE",2020,"pow_combustion_st_chp_biomass_08",19.02,0.0,0.0,272077.327024185,7354598.2234554,17.5361792902203,0.601934805467928,0.144048370136698,0.0,0.0,0.0,0,"","v1","","","",2.26170091324201,1.0,1.66130948221648,"global_emission_factors.pri_sewage_sludge"
35,"DE",2021,"pow_combustion_st_chp_biomass_08",19.72,0.0,0.0,277854.835699797,7483641.16036913,17.8855152604748,0.596186612576065,0.143904665314402,0.0,0.0,0.0,0,"","v1","","","",2.26390834156086,1.0,1.67732716385411,"global_emission_factors.pri_sewage_sludge"
36,"DE",2024,"pow_combustion_st_chp_biomass_08",4.2,0.0,0.0,319969.428571429,8424287.21669118,20.4319661597672,0.554285714285714,0.142857142857143,0.0,0.0,0.0,0,"","v1","","","",2.28013029315961,1.0,1.80412371134021,"global_emission_factors.pri_sewage_sludge"
37,"DE",2027,"pow_combustion_st_chp_biomass_08",4.2,0.0,0.0,319969.428571429,8424287.21669118,20.4319661597672,0.554285714285714,0.142857142857143,0.0,0.0,0.0,0,"","v1","","","",2.28013029315961,1.0,1.80412371134021,"global_emission_factors.pri_sewage_sludge"
38,"DE",2030,"pow_combustion_st_chp_biomass_08",4.2,0.0,0.0,319969.428571429,8424287.21669118,20.4319661597672,0.554285714285714,0.142857142857143,0.0,0.0,0.0,0,"","v1","","","",2.28013029315961,1.0,1.80412371134021,"global_emission_factors.pri_sewage_sludge"
39,"DE",2035,"pow_combustion_st_chp_biomass_08",3.0,0.0,0.0,434838.0,10989922.1033676,27.3774726236741,0.44,0.14,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,2.27272727272727,"global_emission_factors.pri_sewage_sludge"
40,"DE",2040,"pow_combustion_st_chp_biomass_08",3.0,0.0,0.0,434838.0,10989922.1033676,27.3774726236741,0.44,0.14,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,2.27272727272727,"global_emission_factors.pri_sewage_sludge"
41,"DE",2045,"pow_combustion_st_chp_biomass_08",3.0,0.0,0.0,434838.0,10989922.1033676,27.3774726236741,0.44,0.14,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,2.27272727272727,"global_emission_factors.pri_sewage_sludge"
42,"DE",2050,"pow_combustion_st_chp_biomass_08",0.7,0.0,0.0,434838.0,10989922.1033676,27.3774726236741,0.44,0.14,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,2.27272727272727,"global_emission_factors.pri_sewage_sludge"
43,"DE",2060,"pow_combustion_st_chp_biomass_08",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_sludge"
44,"DE",2070,"pow_combustion_st_chp_biomass_08",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_sludge"
