"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_geoth_heat","conversion_factor_sec_elec","conversion_factor_sec_heat_low"
28,"IS",2035,"pow_geothermal_st_chp_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0
29,"IS",2040,"pow_geothermal_st_chp_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0
30,"IS",2045,"pow_geothermal_st_chp_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0
31,"IS",2050,"pow_geothermal_st_chp_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0
32,"IS",2060,"pow_geothermal_st_chp_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0
33,"IS",2070,"pow_geothermal_st_chp_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0
34,"IT",2020,"pow_geothermal_st_chp_0",20.6,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0,1.0
35,"IT",2021,"pow_geothermal_st_chp_0",20.6,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0,1.0
36,"IT",2024,"pow_geothermal_st_chp_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0
37,"IT",2027,"pow_geothermal_st_chp_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0
38,"IT",2030,"pow_geothermal_st_chp_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0
39,"IT",2035,"pow_geothermal_st_chp_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0
40,"IT",2040,"pow_geothermal_st_chp_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0
41,"IT",2045,"pow_geothermal_st_chp_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0
42,"IT",2050,"pow_geothermal_st_chp_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0
43,"IT",2060,"pow_geothermal_st_chp_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0
44,"IT",2070,"pow_geothermal_st_chp_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0
