"id","region","year","type","availability_constant","efficiency","cost_fix_p","cost_inv_p","lifetime","conversion_factor_me1_space_heating","conversion_factor_me1_hot_water","conversion_factor_me1_space_cooling","flow_share_fix_me1_space_heating","flow_share_fix_me1_hot_water","flow_share_fix_me1_space_cooling","flow_share_fix_sec_elec","flow_share_fix_pri_solar_radiation","flow_share_fix_pri_envir_heat","flow_share_fix_pri_geoth_heat","flow_share_fix_pri_natural_gas","flow_share_fix_sec_heating_oil","starting_year","bandwidth_type","version","method","source","comment"
25,"DE",2035,"hea_hh_me1_heat_exchanger_lth_1",1.0,0.0,8.122790589,270.7596863,21.67,0.98,0.0,0.0,0.858408467,0.141591533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
26,"DE",2040,"hea_hh_me1_heat_exchanger_lth_1",1.0,0.0,8.565075698,285.5025233,21.67,0.98,0.0,0.0,0.853311928,0.146688072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
27,"DE",2045,"hea_hh_me1_heat_exchanger_lth_1",1.0,0.0,8.679526078,289.3175359,21.67,0.98,0.0,0.0,0.848064141,0.151935859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
28,"DE",2050,"hea_hh_me1_heat_exchanger_lth_1",1.0,0.0,8.704710914,290.1570305,21.67,0.98,0.0,0.0,0.842662978,0.157337022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
29,"DE",2060,"hea_hh_me1_heat_exchanger_lth_1",1.0,0.0,8.704710914,290.1570305,21.67,0.98,0.0,0.0,0.842662978,0.157337022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
30,"DE",2070,"hea_hh_me1_heat_exchanger_lth_1",1.0,0.0,8.704710914,290.1570305,21.67,0.98,0.0,0.0,0.842662978,0.157337022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
31,"DE",2015,"hea_hh_me1_heater_boil_biomass_soco_1",1.0,0.0,28.37483405,945.8278017,20.0,0.92,0.0,0.0,0.877328579,0.122671421,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
32,"DE",2020,"hea_hh_me1_heater_boil_biomass_soco_1",1.0,0.0,30.50182723,1016.727574,20.0,0.92,0.0,0.0,0.872814079,0.127185921,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
33,"DE",2025,"hea_hh_me1_heater_boil_biomass_soco_1",1.0,0.0,33.27270489,1109.090163,20.0,0.92,0.0,0.0,0.868156877,0.131843123,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
34,"DE",2030,"hea_hh_me1_heater_boil_biomass_soco_1",1.0,0.0,35.79918231,1193.306077,20.0,0.92,0.0,0.0,0.863355922,0.136644078,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
35,"DE",2035,"hea_hh_me1_heater_boil_biomass_soco_1",1.0,0.0,37.68506771,1256.168924,20.0,0.92,0.0,0.0,0.858408467,0.141591533,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
36,"DE",2040,"hea_hh_me1_heater_boil_biomass_soco_1",1.0,0.0,39.37699024,1312.566341,20.0,0.92,0.0,0.0,0.853311928,0.146688072,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
37,"DE",2045,"hea_hh_me1_heater_boil_biomass_soco_1",1.0,0.0,39.81314583,1327.104861,20.0,0.92,0.0,0.0,0.848064141,0.151935859,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
38,"DE",2050,"hea_hh_me1_heater_boil_biomass_soco_1",1.0,0.0,39.9090334,1330.301113,20.0,0.92,0.0,0.0,0.842662978,0.157337022,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
39,"DE",2060,"hea_hh_me1_heater_boil_biomass_soco_1",1.0,0.0,39.9090334,1330.301113,20.0,0.92,0.0,0.0,0.842662978,0.157337022,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
40,"DE",2070,"hea_hh_me1_heater_boil_biomass_soco_1",1.0,0.0,39.9090334,1330.301113,20.0,0.92,0.0,0.0,0.842662978,0.157337022,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
41,"DE",2015,"hea_hh_me1_heater_boil_cd_biodiesel_1",1.0,0.0,11.42972127,380.9907091,20.0,0.91,0.0,0.0,0.877328579,0.122671421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
42,"DE",2020,"hea_hh_me1_heater_boil_cd_biodiesel_1",1.0,0.0,12.23573762,407.8579207,20.0,0.91,0.0,0.0,0.872814079,0.127185921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
43,"DE",2025,"hea_hh_me1_heater_boil_cd_biodiesel_1",1.0,0.0,13.2854158,442.8471932,20.0,0.91,0.0,0.0,0.868156877,0.131843123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
44,"DE",2030,"hea_hh_me1_heater_boil_cd_biodiesel_1",1.0,0.0,14.24246952,474.7489841,20.0,0.91,0.0,0.0,0.863355922,0.136644078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
45,"DE",2035,"hea_hh_me1_heater_boil_cd_biodiesel_1",1.0,0.0,14.95697227,498.5657423,20.0,0.91,0.0,0.0,0.858408467,0.141591533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
46,"DE",2040,"hea_hh_me1_heater_boil_cd_biodiesel_1",1.0,0.0,15.59813573,519.9378576,20.0,0.91,0.0,0.0,0.853311928,0.146688072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
47,"DE",2045,"hea_hh_me1_heater_boil_cd_biodiesel_1",1.0,0.0,15.76344747,525.4482491,20.0,0.91,0.0,0.0,0.848064141,0.151935859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
48,"DE",2050,"hea_hh_me1_heater_boil_cd_biodiesel_1",1.0,0.0,15.79979249,526.6597497,20.0,0.91,0.0,0.0,0.842662978,0.157337022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
49,"DE",2060,"hea_hh_me1_heater_boil_cd_biodiesel_1",1.0,0.0,15.79979249,526.6597497,20.0,0.91,0.0,0.0,0.842662978,0.157337022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
50,"DE",2070,"hea_hh_me1_heater_boil_cd_biodiesel_1",1.0,0.0,15.79979249,526.6597497,20.0,0.91,0.0,0.0,0.842662978,0.157337022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
51,"DE",2015,"hea_hh_me1_heater_boil_cd_gas_1",1.0,0.0,8.850372966,295.0124322,20.0,0.905,0.0,0.0,0.877328579,0.122671421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
52,"DE",2020,"hea_hh_me1_heater_boil_cd_gas_1",1.0,0.0,9.462380706,315.4126902,20.0,0.905,0.0,0.0,0.872814079,0.127185921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
53,"DE",2025,"hea_hh_me1_heater_boil_cd_gas_1",1.0,0.0,10.26424414,342.1414712,20.0,0.905,0.0,0.0,0.868156877,0.131843123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
