"id","region","year","type","availability_constant","efficiency","cost_fix_p","cost_inv_p","lifetime","conversion_factor_ue1_space_heating","conversion_factor_ue1_hot_water","conversion_factor_ue1_space_cooling","flow_share_fix_ue1_space_heating","flow_share_fix_ue1_hot_water","flow_share_fix_ue1_space_cooling","flow_share_fix_sec_elec","flow_share_fix_pri_solar_radiation","flow_share_fix_pri_envir_heat","flow_share_fix_pri_geoth_heat","flow_share_fix_pri_natural_gas","flow_share_fix_sec_heating_oil","starting_year","bandwidth_type","version","method","source","comment"
21,"DE",2015,"hea_hh_ue1_heat_exchanger_lth_1",1.0,0.0,4.719490734,157.3163578,21.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
22,"DE",2020,"hea_hh_ue1_heat_exchanger_lth_1",1.0,0.0,5.097759229,169.9253076,21.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
23,"DE",2025,"hea_hh_ue1_heat_exchanger_lth_1",1.0,0.0,5.618524916,187.2841639,21.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
24,"DE",2030,"hea_hh_ue1_heat_exchanger_lth_1",1.0,0.0,6.232955491,207.765183,21.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
25,"DE",2035,"hea_hh_ue1_heat_exchanger_lth_1",1.0,0.0,6.571688594,219.0562865,21.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
26,"DE",2040,"hea_hh_ue1_heat_exchanger_lth_1",1.0,0.0,6.804411092,226.8137031,21.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
27,"DE",2045,"hea_hh_ue1_heat_exchanger_lth_1",1.0,0.0,6.804411092,226.8137031,21.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
28,"DE",2050,"hea_hh_ue1_heat_exchanger_lth_1",1.0,0.0,6.804411092,226.8137031,21.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
29,"DE",2060,"hea_hh_ue1_heat_exchanger_lth_1",1.0,0.0,6.804411092,226.8137031,21.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
30,"DE",2070,"hea_hh_ue1_heat_exchanger_lth_1",1.0,0.0,6.804411092,226.8137031,21.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
31,"DE",2015,"hea_hh_ue1_heater_boil_biomass_soco_1",1.0,0.0,39.9947507,1333.158357,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
32,"DE",2020,"hea_hh_ue1_heater_boil_biomass_soco_1",1.0,0.0,43.07826253,1435.942084,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
33,"DE",2025,"hea_hh_ue1_heater_boil_biomass_soco_1",1.0,0.0,47.34830441,1578.276814,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
