"id","region","year","type",availability_constant,efficiency,"fix_cost","inv_cost","lifetime","share_ccle","share_ccse","share_chle","share_chse","share_comelc","share_comsol","share_comaht","share_cwle","share_cwse","share_comgeo","starting_year","bandwidth_type","version","method","source","comment"
29,"DE",2035,"hea_cts_heater_hp_adsgas_1_ag",1.0,1.0,22.52054352,750.6847839,15.0,0.3,0.5,0.0,0.0,0.0,0.0,0.171428571,0.0,0.0,0.0,2015.0,"","","","",""
30,"DE",2040,"hea_cts_heater_hp_adsgas_1_ag",1.0,1.0,22.07265043,735.7550145,15.0,0.3,0.5,0.0,0.0,0.0,0.0,0.171428571,0.0,0.0,0.0,2015.0,"","","","",""
31,"DE",2045,"hea_cts_heater_hp_adsgas_1_ag",1.0,1.0,22.77936947,759.3123158,15.0,0.3,0.5,0.0,0.0,0.0,0.0,0.171428571,0.0,0.0,0.0,2015.0,"","","","",""
32,"DE",2050,"hea_cts_heater_hp_adsgas_1_ag",1.0,1.0,23.0716649,769.0554967,15.0,0.3,0.5,0.0,0.0,0.0,0.0,0.171428571,0.0,0.0,0.0,2015.0,"","","","",""
33,"DE",2015,"hea_cts_heater_hp_ads_dual_gas_1_ag",1.0,1.0,20.99477884,699.8259613,15.0,0.5,0.0,0.0,0.0,0.0,0.0,0.29375,0.0,0.0,0.0,2015.0,"","","","",""
34,"DE",2020,"hea_cts_heater_hp_ads_dual_gas_1_ag",1.0,1.0,21.9747529,732.4917634,15.0,0.5,0.0,0.0,0.0,0.0,0.0,0.29375,0.0,0.0,0.0,2015.0,"","","","",""
35,"DE",2025,"hea_cts_heater_hp_ads_dual_gas_1_ag",1.0,1.0,21.87535405,729.1784685,15.0,0.5,0.0,0.0,0.0,0.0,0.0,0.29375,0.0,0.0,0.0,2015.0,"","","","",""
36,"DE",2030,"hea_cts_heater_hp_ads_dual_gas_1_ag",1.0,1.0,23.42170772,780.7235908,15.0,0.5,0.0,0.0,0.0,0.0,0.0,0.29375,0.0,0.0,0.0,2015.0,"","","","",""
37,"DE",2035,"hea_cts_heater_hp_ads_dual_gas_1_ag",1.0,1.0,24.56786565,818.9288551,15.0,0.5,0.0,0.0,0.0,0.0,0.0,0.29375,0.0,0.0,0.0,2015.0,"","","","",""
38,"DE",2040,"hea_cts_heater_hp_ads_dual_gas_1_ag",1.0,1.0,24.07925502,802.641834,15.0,0.5,0.0,0.0,0.0,0.0,0.0,0.29375,0.0,0.0,0.0,2015.0,"","","","",""
39,"DE",2045,"hea_cts_heater_hp_ads_dual_gas_1_ag",1.0,1.0,24.85022124,828.3407081,15.0,0.5,0.0,0.0,0.0,0.0,0.0,0.29375,0.0,0.0,0.0,2015.0,"","","","",""
40,"DE",2050,"hea_cts_heater_hp_ads_dual_gas_1_ag",1.0,1.0,25.16908898,838.9696328,15.0,0.5,0.0,0.0,0.0,0.0,0.0,0.29375,0.0,0.0,0.0,2015.0,"","","","",""
41,"DE",2030,"hea_cts_heater_boil_cd_hydrogen_1_ag",1.0,0.95,10.29993687,343.3312291,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030.0,"","","","",""
42,"DE",2035,"hea_cts_heater_boil_cd_hydrogen_1_ag",1.0,0.95,10.75465846,358.4886153,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030.0,"","","","",""
43,"DE",2040,"hea_cts_heater_boil_cd_hydrogen_1_ag",1.0,0.95,12.01418067,400.4726891,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030.0,"","","","",""
44,"DE",2045,"hea_cts_heater_boil_cd_hydrogen_1_ag",1.0,0.95,12.44219554,414.7398512,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030.0,"","","","",""
45,"DE",2050,"hea_cts_heater_boil_cd_hydrogen_1_ag",1.0,0.95,12.6187157,420.6238565,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030.0,"","","","",""
46,"DE",2015,"hea_cts_heat_exchanger_hth_1_ag",1.0,1.0,2.713526828,90.45089426,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
47,"DE",2020,"hea_cts_heat_exchanger_hth_1_ag",1.0,1.0,2.885680279,96.18934262,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
48,"DE",2025,"hea_cts_heat_exchanger_hth_1_ag",1.0,1.0,3.115269487,103.8423162,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
49,"DE",2030,"hea_cts_heat_exchanger_hth_1_ag",1.0,1.0,3.388678017,112.9559339,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
50,"DE",2035,"hea_cts_heat_exchanger_hth_1_ag",1.0,1.0,3.593928218,119.7976073,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
