"id","region","year","type","availability_constant","capacity_tra_inst_0","conversion_factor_exo_road_bus_short_pkm","conversion_factor_sec_diesel","cost_fix_tra","cost_inv_tra","cost_var_tra","ef_sec_diesel_emi_ch4_f_tra","ef_sec_diesel_emi_co2_f_tra","ef_sec_diesel_emi_n2o_f_tra","lifetime","market_share_range","mileage","occupancy_rate","wacc","bandwidth_type","version","method","source","comment"
1,"DE",2021,"tra_road_bus_ice_pass_short_diesel_0",95.0,100000.0,3000.0,50.0,400.0,140000.0,0.3,"0.09","global_emission_factors.diesel_fuel","4.17",12.0,"[70.0, 95.0]",51744.0,30.0,"global_scalars.wacc","{'market_share_range': 'range'}","v1","{'mileage': 'Aggregated table 69 of BASt, 2017.'}","{'ef_sec_diesel_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_diesel_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Danis2023', 'mileage': '8BaumeHautz2014'}","{'ef_sec_diesel_emi_ch4_f_tra': 'Table 490 heavy duty vehicle', 'ef_sec_diesel_emi_n2o_f_tra': 'Table 490 heavy duty vehicle', 'mileage': 'Assumed to be constant'}"
2,"DE",2024,"tra_road_bus_ice_pass_short_diesel_0",95.0,100200.0,3000.0,50.0,400.0,140000.0,0.3,"0.09","global_emission_factors.diesel_fuel","4.17",12.0,"[70.0, 95.0]",51744.0,30.0,"global_scalars.wacc","{'market_share_range': 'range'}","v1","{'lifetime': 'Interpolated', 'mileage': 'Aggregated table 69 of BASt, 2017.'}","{'ef_sec_diesel_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_diesel_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Danis2023', 'mileage': '8BaumeHautz2014'}","{'ef_sec_diesel_emi_ch4_f_tra': 'Table 490 heavy duty vehicle', 'ef_sec_diesel_emi_n2o_f_tra': 'Table 490 heavy duty vehicle', 'mileage': 'Assumed to be constant'}"
3,"DE",2027,"tra_road_bus_ice_pass_short_diesel_0",95.0,90000.0,3000.0,50.0,400.0,140000.0,0.3,"0.09","global_emission_factors.diesel_fuel","4.17",12.0,"[70.0, 95.0]",51744.0,30.0,"global_scalars.wacc","{'market_share_range': 'range'}","v1","{'lifetime': 'Interpolated', 'mileage': 'Aggregated table 69 of BASt, 2017.'}","{'ef_sec_diesel_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_diesel_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Danis2023', 'mileage': '8BaumeHautz2014'}","{'ef_sec_diesel_emi_ch4_f_tra': 'Table 490 heavy duty vehicle', 'ef_sec_diesel_emi_n2o_f_tra': 'Table 490 heavy duty vehicle', 'mileage': 'Assumed to be constant'}"
4,"DE",2030,"tra_road_bus_ice_pass_short_diesel_0",95.0,70000.0,3000.0,50.0,400.0,140000.0,0.3,"0.09","global_emission_factors.diesel_fuel","4.17",12.0,"[70.0, 95.0]",51744.0,30.0,"global_scalars.wacc","{'market_share_range': 'range'}","v1","{'lifetime': 'Interpolated', 'mileage': 'Aggregated table 69 of BASt, 2017.'}","{'ef_sec_diesel_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_diesel_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Danis2023', 'mileage': '8BaumeHautz2014'}","{'ef_sec_diesel_emi_ch4_f_tra': 'Table 490 heavy duty vehicle', 'ef_sec_diesel_emi_n2o_f_tra': 'Table 490 heavy duty vehicle', 'mileage': 'Assumed to be constant'}"
5,"DE",2035,"tra_road_bus_ice_pass_short_diesel_0",95.0,30000.0,3000.0,50.0,400.0,140000.0,0.3,"0.09","global_emission_factors.diesel_fuel","4.17",12.0,"[70.0, 95.0]",51744.0,30.0,"global_scalars.wacc","{'market_share_range': 'range'}","v1","{'lifetime': 'Interpolated', 'mileage': 'Aggregated table 69 of BASt, 2017.'}","{'ef_sec_diesel_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_diesel_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Danis2023', 'mileage': '8BaumeHautz2014'}","{'ef_sec_diesel_emi_ch4_f_tra': 'Table 490 heavy duty vehicle', 'ef_sec_diesel_emi_n2o_f_tra': 'Table 490 heavy duty vehicle', 'mileage': 'Assumed to be constant'}"
6,"DE",2040,"tra_road_bus_ice_pass_short_diesel_0",95.0,0.0,3000.0,50.0,400.0,140000.0,0.3,"0.09","global_emission_factors.diesel_fuel","4.17",12.0,"[70.0, 95.0]",51744.0,30.0,"global_scalars.wacc","{'market_share_range': 'range'}","v1","{'lifetime': 'Interpolated', 'mileage': 'Aggregated table 69 of BASt, 2017.'}","{'ef_sec_diesel_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_diesel_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Danis2023', 'mileage': '8BaumeHautz2014'}","{'ef_sec_diesel_emi_ch4_f_tra': 'Table 490 heavy duty vehicle', 'ef_sec_diesel_emi_n2o_f_tra': 'Table 490 heavy duty vehicle', 'mileage': 'Assumed to be constant'}"
7,"DE",2045,"tra_road_bus_ice_pass_short_diesel_0",95.0,0.0,3000.0,50.0,400.0,140000.0,0.3,"0.09","global_emission_factors.diesel_fuel","4.17",12.0,"[70.0, 95.0]",51744.0,30.0,"global_scalars.wacc","{'market_share_range': 'range'}","v1","{'lifetime': 'Interpolated', 'mileage': 'Aggregated table 69 of BASt, 2017.'}","{'ef_sec_diesel_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_diesel_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Danis2023', 'mileage': '8BaumeHautz2014'}","{'ef_sec_diesel_emi_ch4_f_tra': 'Table 490 heavy duty vehicle', 'ef_sec_diesel_emi_n2o_f_tra': 'Table 490 heavy duty vehicle', 'mileage': 'Assumed to be constant'}"
8,"DE",2050,"tra_road_bus_ice_pass_short_diesel_0",95.0,0.0,3000.0,50.0,400.0,140000.0,0.3,"0.09","global_emission_factors.diesel_fuel","4.17",12.0,"[70.0, 95.0]",51744.0,30.0,"global_scalars.wacc","{'market_share_range': 'range'}","v1","{'lifetime': 'Interpolated', 'mileage': 'Aggregated table 69 of BASt, 2017.'}","{'ef_sec_diesel_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_diesel_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Danis2023', 'mileage': '8BaumeHautz2014'}","{'ef_sec_diesel_emi_ch4_f_tra': 'Table 490 heavy duty vehicle', 'ef_sec_diesel_emi_n2o_f_tra': 'Table 490 heavy duty vehicle', 'mileage': 'Assumed to be constant'}"
9,"DE",2060,"tra_road_bus_ice_pass_short_diesel_0",95.0,0.0,3000.0,50.0,400.0,140000.0,0.3,"0.09","global_emission_factors.diesel_fuel","4.17",12.0,"[70.0, 95.0]",51744.0,30.0,"global_scalars.wacc","{'market_share_range': 'range'}","v1","{'lifetime': 'Interpolated', 'mileage': 'Aggregated table 69 of BASt, 2017.'}","{'ef_sec_diesel_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_diesel_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Danis2023', 'mileage': '8BaumeHautz2014'}","{'ef_sec_diesel_emi_ch4_f_tra': 'Table 490 heavy duty vehicle', 'ef_sec_diesel_emi_n2o_f_tra': 'Table 490 heavy duty vehicle', 'lifetime': 'Assumed to be constant', 'mileage': 'Assumed to be constant'}"
10,"DE",2070,"tra_road_bus_ice_pass_short_diesel_0",95.0,0.0,3000.0,50.0,400.0,140000.0,0.3,"0.09","global_emission_factors.diesel_fuel","4.17",12.0,"[70.0, 95.0]",51744.0,30.0,"global_scalars.wacc","{'market_share_range': 'range'}","v1","{'lifetime': 'Interpolated', 'mileage': 'Aggregated table 69 of BASt, 2017.'}","{'ef_sec_diesel_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_diesel_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Danis2023', 'mileage': '8BaumeHautz2014'}","{'ef_sec_diesel_emi_ch4_f_tra': 'Table 490 heavy duty vehicle', 'ef_sec_diesel_emi_n2o_f_tra': 'Table 490 heavy duty vehicle', 'lifetime': 'Assumed to be constant', 'mileage': 'Assumed to be constant'}"
