"id","region","year","type","conversion_factor_iip_chemi_meoh_h2","conversion_factor_sec_elec_ind","availability_constant","capacity_p_abs_new_max","cost_inv_p","cost_fix_p","lifetime","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_chemical_methanol_pemec_1","","","",0.0,"","","","{}","v1","{}","{}","{}"
2,"DE",2024,"ind_chemical_methanol_pemec_1",1.0,1.4285714285714286,90.0,"",1413.591816,42.40782,20.0,"{}","v1","{}","{}","{}"
3,"DE",2027,"ind_chemical_methanol_pemec_1",1.0,1.4285714285714286,90.0,"",1413.591816,42.40782,20.0,"{}","v1","{}","{}","{}"
4,"DE",2030,"ind_chemical_methanol_pemec_1",1.0,1.3333333333333333,90.0,"",1119.093612,33.572448,20.0,"{}","v1","{}","{}","{}"
5,"DE",2035,"ind_chemical_methanol_pemec_1",1.0,1.3333333333333333,90.0,"",1119.093612,33.572448,20.0,"{}","v1","{}","{}","{}"
6,"DE",2040,"ind_chemical_methanol_pemec_1",1.0,1.3333333333333333,90.0,"",1119.093612,33.572448,20.0,"{}","v1","{}","{}","{}"
7,"DE",2045,"ind_chemical_methanol_pemec_1",1.0,1.3333333333333333,90.0,"",1119.093612,33.572448,20.0,"{}","v1","{}","{}","{}"
8,"DE",2050,"ind_chemical_methanol_pemec_1",1.0,1.25,90.0,"",883.494612,26.505024,20.0,"{}","v1","{}","{}","{}"
9,"DE",2060,"ind_chemical_methanol_pemec_1",1.0,1.25,90.0,"",883.494612,26.505024,20.0,"{}","v1","{}","{}","{}"
10,"DE",2070,"ind_chemical_methanol_pemec_1",1.0,1.25,90.0,"",883.494612,26.505024,20.0,"{}","v1","{}","{}","{}"
