"id","region","year","ef_sec_biokerosene_orig_emi_co2_neg_air_bio","capacity_e_max","cost_var_e","bandwidth_type","version","method","source","comment"
1,"DE",2021,"sedos_global_emission_factors.kerosene","[13200000.0]","[115.4]","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'values', 'cost_var_e': 'values'}","srd_range_draft","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'to produce HEFA biokerosene in Germany, primarily rapeseed can be used. With the cultivable land potential of 1.8 Mio ha (https://www.ufop.de/files/2213/6368/8131/Ansicht_Broschuere_Rapskultur.pdf) and the area specific yield of 48 GJ/ha and the share of biojet fuel per HEFA yield of 55% the potential can be calculated', 'cost_var_e': 'value for 2020 assumed from literature source, literature source assumes prices but a comparison with another literature source reveals a 10% difference between production costs and prices (https://www.iea.org/data-and-statistics/charts/fossil-jet-and-biojet-fuel-production-cost-ranges-2010-2030) which is accounted for here. Conversion from €/l to €/MWh with density 0.78 kg/l and LHV of 44 MJ/kg according to https://f3centre.se/app/uploads/Fuels_Fact-sheet-5_HEFA_HVO_160810_FINAL.pdf'}","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'ownCalculation', 'cost_var_e': '5pernerFutureCostElectricityBased2018'}",""
2,"DE",2024,"sedos_global_emission_factors.kerosene","[13200000.0]","[109.4]","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'values', 'cost_var_e': 'values'}","srd_range_draft","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'assumed to remain constant', 'cost_var_e': 'linear interpolation'}","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'ownAssumption', 'cost_var_e': 'ownCalculation'}",""
3,"DE",2027,"sedos_global_emission_factors.kerosene","[13200000.0]","[103.3]","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'values', 'cost_var_e': 'values'}","srd_range_draft","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'assumed to remain constant', 'cost_var_e': 'linear interpolation'}","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'ownAssumption', 'cost_var_e': 'ownCalculation'}",""
4,"DE",2030,"sedos_global_emission_factors.kerosene","[13200000.0]","[97.3]","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'values', 'cost_var_e': 'values'}","srd_range_draft","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'assumed to remain constant', 'cost_var_e': ' literature source assumes prices but a comparison with another literature source reveals a 10% difference between production costs and prices (https://www.iea.org/data-and-statistics/charts/fossil-jet-and-biojet-fuel-production-cost-ranges-2010-2030) which is accounted for here. Conversion from €/l to €/MWh with density 0.78 kg/l and LHV of 44 MJ/kg according to https://f3centre.se/app/uploads/Fuels_Fact-sheet-5_HEFA_HVO_160810_FINAL.pdf'}","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'ownAssumption', 'cost_var_e': '5pernerFutureCostElectricityBased2018'}",""
5,"DE",2035,"sedos_global_emission_factors.kerosene","[13200000.0]","[94.9]","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'values', 'cost_var_e': 'values'}","srd_range_draft","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'assumed to remain constant', 'cost_var_e': 'linear interpolation'}","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'ownAssumption', 'cost_var_e': 'ownCalculation'}",""
6,"DE",2040,"sedos_global_emission_factors.kerosene","[13200000.0]","[92.5]","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'values', 'cost_var_e': 'values'}","srd_range_draft","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'assumed to remain constant', 'cost_var_e': ' literature source assumes prices but a comparison with another literature source reveals a 10% difference between production costs and prices (https://www.iea.org/data-and-statistics/charts/fossil-jet-and-biojet-fuel-production-cost-ranges-2010-2030) which is accounted for here. Conversion from €/l to €/MWh with density 0.78 kg/l and LHV of 44 MJ/kg according to https://f3centre.se/app/uploads/Fuels_Fact-sheet-5_HEFA_HVO_160810_FINAL.pdf'}","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'ownAssumption', 'cost_var_e': '5pernerFutureCostElectricityBased2018'}",""
7,"DE",2045,"sedos_global_emission_factors.kerosene","[13200000.0]","[91.1]","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'values', 'cost_var_e': 'values'}","srd_range_draft","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'assumed to remain constant', 'cost_var_e': 'linear interpolation'}","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'ownAssumption', 'cost_var_e': 'ownCalculation'}",""
8,"DE",2050,"sedos_global_emission_factors.kerosene","[13200000.0]","[89.6]","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'values', 'cost_var_e': 'values'}","srd_range_draft","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'assumed to remain constant', 'cost_var_e': ' literature source assumes prices but a comparison with another literature source reveals a 10% difference between production costs and prices (https://www.iea.org/data-and-statistics/charts/fossil-jet-and-biojet-fuel-production-cost-ranges-2010-2030) which is accounted for here. Conversion from €/l to €/MWh with density 0.78 kg/l and LHV of 44 MJ/kg according to https://f3centre.se/app/uploads/Fuels_Fact-sheet-5_HEFA_HVO_160810_FINAL.pdf'}","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'ownAssumption', 'cost_var_e': '5pernerFutureCostElectricityBased2018'}",""
9,"DE",2060,"sedos_global_emission_factors.kerosene","[13200000.0]","[89.6]","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'values', 'cost_var_e': 'values'}","srd_range_draft","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'assumed to remain constant', 'cost_var_e': 'assumed to remain constant'}","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'ownAssumption', 'cost_var_e': 'ownAssumptions'}",""
10,"DE",2070,"sedos_global_emission_factors.kerosene","[13200000.0]","[89.6]","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'values', 'cost_var_e': 'values'}","srd_range_draft","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'assumed to remain constant', 'cost_var_e': 'assumed to remain constant'}","{'ef_sec_biokerosene_orig_emi_co2_neg_air_bio': '', 'capacity_e_max': 'ownAssumption', 'cost_var_e': 'ownAssumptions'}",""
