"id","region","year","cost_var_e","bandwidth_type","version","method","source","comment"
1,"DE",2021,"[44.03]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'value from literature in 0.64 €/kg and includes infrastructure costs for a refueling station which converts natural gas or biogas to CNG, conversion from €/kg to €/MWh with LHV of LPG and monetary conversion, value from 2023 assumed to be constant'}","{'cost_var_e': '5basmaTotalCostOwnership2023'}",""
2,"DE",2024,"[44.03]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'literature source assumed costs to remain constant'}","{'cost_var_e': '5basmaTotalCostOwnership2023'}",""
3,"DE",2027,"[44.03]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'literature source assumed costs to remain constant'}","{'cost_var_e': '5basmaTotalCostOwnership2023'}",""
4,"DE",2030,"[44.03]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'literature source assumed costs to remain constant'}","{'cost_var_e': '5basmaTotalCostOwnership2023'}",""
5,"DE",2035,"[44.03]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'literature source assumed costs to remain constant'}","{'cost_var_e': '5basmaTotalCostOwnership2023'}",""
6,"DE",2040,"[44.03]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'literature source assumed costs to remain constant'}","{'cost_var_e': '5basmaTotalCostOwnership2023'}",""
7,"DE",2045,"[44.03]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'literature source assumed costs to remain constant'}","{'cost_var_e': '5basmaTotalCostOwnership2023'}",""
8,"DE",2050,"[44.03]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'literature source assumed costs to remain constant'}","{'cost_var_e': '5basmaTotalCostOwnership2023'}",""
9,"DE",2060,"[44.03]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'literature source assumed costs to remain constant'}","{'cost_var_e': '5basmaTotalCostOwnership2023'}",""
10,"DE",2070,"[44.03]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'literature source assumed costs to remain constant'}","{'cost_var_e': '5basmaTotalCostOwnership2023'}",""
