"id","region","year","cost_var_e","bandwidth_type","version","method","source","comment"
1,"DE",2021,"[15.91]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': ' value from literature is assumed to remain constant, transport from terminal to gas station, monetary year adapted from €2017 to €2021'}","{'cost_var_e': '5dvgwStudiePotenzialanalyseLNG2016'}",""
2,"DE",2024,"[15.91]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5dvgwStudiePotenzialanalyseLNG2016'}",""
3,"DE",2027,"[15.91]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5dvgwStudiePotenzialanalyseLNG2016'}",""
4,"DE",2030,"[15.91]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5dvgwStudiePotenzialanalyseLNG2016'}",""
5,"DE",2035,"[15.91]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5dvgwStudiePotenzialanalyseLNG2016'}",""
6,"DE",2040,"[15.91]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5dvgwStudiePotenzialanalyseLNG2016'}",""
7,"DE",2045,"[15.91]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5dvgwStudiePotenzialanalyseLNG2016'}",""
8,"DE",2050,"[15.91]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5dvgwStudiePotenzialanalyseLNG2016'}",""
9,"DE",2060,"[15.91]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5dvgwStudiePotenzialanalyseLNG2016'}",""
10,"DE",2070,"[15.91]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5dvgwStudiePotenzialanalyseLNG2016'}",""
