"id","region","year","cost_var_e","bandwidth_type","version","method","source","comment"
1,"DE",2021,"[5.3723]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'costs for 150km pipeline transport added to costs for 150km truck transport, variable pipeline costs calculated from pipeline throughout and total pipeline cost, monetary year adapted from €2022 to €2021'}","{'cost_var_e': '5FuelsConcawe'}",""
2,"DE",2024,"[5.3723]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5FuelsConcawe'}",""
3,"DE",2027,"[5.3723]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5FuelsConcawe'}",""
4,"DE",2030,"[5.3723]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5FuelsConcawe'}",""
5,"DE",2035,"[5.3723]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5FuelsConcawe'}",""
6,"DE",2040,"[5.3723]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5FuelsConcawe'}",""
7,"DE",2045,"[5.3723]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5FuelsConcawe'}",""
8,"DE",2050,"[5.3723]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5FuelsConcawe'}",""
9,"DE",2060,"[5.3723]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5FuelsConcawe'}",""
10,"DE",2070,"[5.3723]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5FuelsConcawe'}",""
