"id","region","year","cost_var_e","bandwidth_type","version","method","source","comment"
1,"DE",2021,"[11.29]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': ' value from literature for 2016 is assumed to remain constant, transport from terminal to gas station, monetary year adapted from €2017 to €2021'}","{'cost_var_e': '5dvgwStudiePotenzialanalyseLNG2016'}",""
2,"DE",2024,"[11.29]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5dvgwStudiePotenzialanalyseLNG2016'}",""
3,"DE",2027,"[11.29]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5dvgwStudiePotenzialanalyseLNG2016'}",""
4,"DE",2030,"[11.29]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5dvgwStudiePotenzialanalyseLNG2016'}",""
5,"DE",2035,"[11.29]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5dvgwStudiePotenzialanalyseLNG2016'}",""
6,"DE",2040,"[11.29]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5dvgwStudiePotenzialanalyseLNG2016'}",""
7,"DE",2045,"[11.29]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5dvgwStudiePotenzialanalyseLNG2016'}",""
8,"DE",2050,"[11.29]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5dvgwStudiePotenzialanalyseLNG2016'}",""
9,"DE",2060,"[11.29]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5dvgwStudiePotenzialanalyseLNG2016'}",""
10,"DE",2070,"[11.29]","{'cost_var_e': 'values'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant'}","{'cost_var_e': '5dvgwStudiePotenzialanalyseLNG2016'}",""
