"id","region","year","capacity_p_inst","ef_pri_crude_oil_emi_co2_f_x2x","ef_pri_crude_oil_emi_ch4_f_x2x","ef_pri_crude_oil_emi_n2o_f_x2x","conversion_factor_pri_crude_oil","flow_share_min_sec_gasoline_fos_orig","flow_share_max_sec_gasoline_fos_orig","flow_share_min_sec_diesel_fos_orig","flow_share_max_sec_diesel_fos_orig","flow_share_min_sec_kerosene_fos_orig","flow_share_max_sec_kerosene_fos_orig","flow_share_min_sec_lpg_orig","flow_share_max_sec_lpg_orig","flow_share_min_sec_naphtha_fos_orig","flow_share_max_sec_naphtha_fos_orig","flow_share_min_sec_heavy_fuel_oil_orig","flow_share_max_sec_heavy_fuel_oil_orig","flow_share_min_sec_refinery_gas","flow_share_max_sec_refinery_gas","cost_inv_p","cost_fix_p","cost_var_e","lifetime","wacc","bandwidth_type","version","method","source","comment"
1,"DE",2021,"[156866.0]","[20.0, 820.0]","[0.0323529, 0.375]","[4.155475e-05, 0.000481657]","[1.1038]","[10.0]","[35.0]","[23.0]","[43.0]","[7.0]","[23.0]","[2.0]","[6.0]","[0.0]","[7.0]","[0.0]","[42.0]","[4.0]","[5.0]","[0.0]","[9697.0, 21820.0]","[0.5388]","[30.0, 50.0]","global_scalars.wacc","{'capacity_p_inst': 'values', 'ef_pri_crude_oil_emi_co2_f_x2x': 'range', 'ef_pri_crude_oil_emi_ch4_f_x2x': 'range', 'ef_pri_crude_oil_emi_n2o_f_x2x': 'range', 'conversion_factor_pri_crude_oil': 'values', 'flow_share_min_sec_gasoline_fos_orig': 'values', 'flow_share_max_sec_gasoline_fos_orig': 'values', 'flow_share_min_sec_diesel_fos_orig': 'values', 'flow_share_max_sec_diesel_fos_orig': 'values', 'flow_share_min_sec_kerosene_fos_orig': 'values', 'flow_share_max_sec_kerosene_fos_orig': 'values', 'flow_share_min_sec_lpg_orig': 'values', 'flow_share_max_sec_lpg_orig': 'values', 'flow_share_min_sec_naphtha_fos_orig': 'values', 'flow_share_max_sec_naphtha_fos_orig': 'values', 'flow_share_min_sec_heavy_fuel_oil_orig': 'values', 'flow_share_max_sec_heavy_fuel_oil_orig': 'values', 'flow_share_min_sec_refinery_gas': 'values', 'flow_share_max_sec_refinery_gas': 'values', 'cost_inv_p': 'values', 'cost_fix_p': 'range', 'cost_var_e': 'values', 'lifetime': 'range', 'wacc': ''}","srd_range_draft","{'capacity_p_inst': 'based on literature source, 106,3 Mt/year crude oil refining capacity  * 11,8 MWh/t (LHV) / 8000 h/year (asumption 760 hours downtime due to maintenance, linear decomissioning until 2040', 'ef_pri_crude_oil_emi_co2_f_x2x': 'literature value', 'ef_pri_crude_oil_emi_ch4_f_x2x': 'literature value from t/barrel to t/t_crude oil', 'ef_pri_crude_oil_emi_n2o_f_x2x': 'literature value from t/barrel to t/t_crude oil', 'conversion_factor_pri_crude_oil': 'literature value of 90.6% fuel efficiency per crude oil normalized with respect to the product side', 'flow_share_min_sec_gasoline_fos_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_gasoline_fos_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_diesel_fos_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_diesel_fos_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_kerosene_fos_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_kerosene_fos_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_lpg_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_lpg_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_naphtha_fos_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_naphtha_fos_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_heavy_fuel_oil_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_heavy_fuel_oil_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_refinery_gas': 'literature value', 'flow_share_max_sec_refinery_gas': 'literature value', 'cost_inv_p': 'total cost for a 8 mio. t crude oil per year refinery (because this is the approximate mean of refinery capacity per refinery in Germany) divided by the amount of crude oil input per year which was converted from t to MWh with LHV of crude oil and from MWh in MW with the divison by 8760h/a, monetary conversion from $2022 to €2021.', 'cost_fix_p': 'based on literature sources, for 8 mio. t/year refinery costs are between 2-5 $/bbl, with the amount of barrels per year and the cost of the refinery this equates to 2-4.5%CAPEX which was multiplied with the column cost_inv_p', 'cost_var_e': 'based on literature source assuming 1 $/bbl, conversion into €/MWh with LHV and monetary conversion from $2020 to €2021.', 'lifetime': 'ownAssumption', 'wacc': ''}","{'capacity_p_inst': '5stiftungarbeitundumweltderigbceBranchenausblick2030Transformationstrends2021', 'ef_pri_crude_oil_emi_co2_f_x2x': '5ecofysMethodologyFreeAllocation2009', 'ef_pri_crude_oil_emi_ch4_f_x2x': '5lavoieAssessingMethaneEmissions2017', 'ef_pri_crude_oil_emi_n2o_f_x2x': '5sciencebasedtargetsAnnexCH4Emissions2020', 'conversion_factor_pri_crude_oil': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_gasoline_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_gasoline_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_diesel_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_diesel_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_kerosene_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_kerosene_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_lpg_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_lpg_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_naphtha_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_naphtha_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_heavy_fuel_oil_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_heavy_fuel_oil_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_refinery_gas': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_refinery_gas': '5vaillancourtOilRefineries2014', 'cost_inv_p': '5favennecEconomicsOilRefining2022', 'cost_fix_p': '5favennecEconomicsOilRefining2022,5ieaIEARefineryMargins2012', 'cost_var_e': '5favennecEconomicsOilRefining2022', 'lifetime': 'ownAssumption', 'wacc': ''}",""
2,"DE",2024,"[125493.0]","[20.0, 820.0]","[0.0323529, 0.375]","[4.155475e-05, 0.000481657]","[1.1038]","[10.0]","[35.0]","[23.0]","[43.0]","[7.0]","[23.0]","[2.0]","[6.0]","[0.0]","[7.0]","[0.0]","[42.0]","[4.0]","[5.0]","[0.0]","[9697.0, 21820.0]","[0.5388]","[30.0, 50.0]","global_scalars.wacc","{'capacity_p_inst': 'values', 'ef_pri_crude_oil_emi_co2_f_x2x': 'range', 'ef_pri_crude_oil_emi_ch4_f_x2x': 'range', 'ef_pri_crude_oil_emi_n2o_f_x2x': 'range', 'conversion_factor_pri_crude_oil': 'values', 'flow_share_min_sec_gasoline_fos_orig': 'values', 'flow_share_max_sec_gasoline_fos_orig': 'values', 'flow_share_min_sec_diesel_fos_orig': 'values', 'flow_share_max_sec_diesel_fos_orig': 'values', 'flow_share_min_sec_kerosene_fos_orig': 'values', 'flow_share_max_sec_kerosene_fos_orig': 'values', 'flow_share_min_sec_lpg_orig': 'values', 'flow_share_max_sec_lpg_orig': 'values', 'flow_share_min_sec_naphtha_fos_orig': 'values', 'flow_share_max_sec_naphtha_fos_orig': 'values', 'flow_share_min_sec_heavy_fuel_oil_orig': 'values', 'flow_share_max_sec_heavy_fuel_oil_orig': 'values', 'flow_share_min_sec_refinery_gas': 'values', 'flow_share_max_sec_refinery_gas': 'values', 'cost_inv_p': 'values', 'cost_fix_p': 'range', 'cost_var_e': 'values', 'lifetime': 'range', 'wacc': ''}","srd_range_draft","{'capacity_p_inst': 'based on literature source, 106,3 Mt/year crude oil refining capacity  * 11,8 MWh/t (LHV) / 8000 h/year (asumption 760 hours downtime due to maintenance, linear decomissioning until 2040', 'ef_pri_crude_oil_emi_co2_f_x2x': 'literature value', 'ef_pri_crude_oil_emi_ch4_f_x2x': 'literature value from t/barrel to t/t_crude oil', 'ef_pri_crude_oil_emi_n2o_f_x2x': 'literature value from t/barrel to t/t_crude oil', 'conversion_factor_pri_crude_oil': 'literature value', 'flow_share_min_sec_gasoline_fos_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_gasoline_fos_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_diesel_fos_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_diesel_fos_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_kerosene_fos_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_kerosene_fos_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_lpg_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_lpg_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_naphtha_fos_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_naphtha_fos_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_heavy_fuel_oil_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_heavy_fuel_oil_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_refinery_gas': 'literature value', 'flow_share_max_sec_refinery_gas': 'literature value', 'cost_inv_p': 'total cost for a 8 mio. t crude oil per year refinery (because this is the approximate mean of refinery capacity per refinery in Germany) divided by the amount of crude oil input per year which was converted from t to MWh with LHV of crude oil and from MWh in MW with the divison by 8760h/a, monetary conversion from $2022 to €2021.', 'cost_fix_p': 'based on literature sources, for 8 mio. t/year refinery costs are between 2-5 $/bbl, with the amount of barrels per year and the cost of the refinery this equates to 2-4.5%CAPEX which was multiplied with the column cost_inv_p', 'cost_var_e': 'based on literature source assuming 1 $/bbl, conversion into €/MWh with LHV and monetary conversion from $2020 to €2021.', 'lifetime': 'ownAssumption', 'wacc': ''}","{'capacity_p_inst': '5stiftungarbeitundumweltderigbceBranchenausblick2030Transformationstrends2021', 'ef_pri_crude_oil_emi_co2_f_x2x': '5ecofysMethodologyFreeAllocation2009', 'ef_pri_crude_oil_emi_ch4_f_x2x': '5lavoieAssessingMethaneEmissions2017', 'ef_pri_crude_oil_emi_n2o_f_x2x': '5sciencebasedtargetsAnnexCH4Emissions2020', 'conversion_factor_pri_crude_oil': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_gasoline_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_gasoline_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_diesel_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_diesel_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_kerosene_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_kerosene_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_lpg_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_lpg_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_naphtha_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_naphtha_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_heavy_fuel_oil_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_heavy_fuel_oil_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_refinery_gas': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_refinery_gas': '5vaillancourtOilRefineries2014', 'cost_inv_p': '5favennecEconomicsOilRefining2022', 'cost_fix_p': '5favennecEconomicsOilRefining2022,5ieaIEARefineryMargins2012', 'cost_var_e': '5favennecEconomicsOilRefining2022', 'lifetime': 'ownAssumption', 'wacc': ''}",""
3,"DE",2027,"[101963.0]","[20.0, 820.0]","[0.0323529, 0.375]","[4.155475e-05, 0.000481657]","[1.1038]","[10.0]","[35.0]","[23.0]","[43.0]","[7.0]","[23.0]","[2.0]","[6.0]","[0.0]","[7.0]","[0.0]","[42.0]","[4.0]","[5.0]","[0.0]","[9697.0, 21820.0]","[0.5388]","[30.0, 50.0]","global_scalars.wacc","{'capacity_p_inst': 'values', 'ef_pri_crude_oil_emi_co2_f_x2x': 'range', 'ef_pri_crude_oil_emi_ch4_f_x2x': 'range', 'ef_pri_crude_oil_emi_n2o_f_x2x': 'range', 'conversion_factor_pri_crude_oil': 'values', 'flow_share_min_sec_gasoline_fos_orig': 'values', 'flow_share_max_sec_gasoline_fos_orig': 'values', 'flow_share_min_sec_diesel_fos_orig': 'values', 'flow_share_max_sec_diesel_fos_orig': 'values', 'flow_share_min_sec_kerosene_fos_orig': 'values', 'flow_share_max_sec_kerosene_fos_orig': 'values', 'flow_share_min_sec_lpg_orig': 'values', 'flow_share_max_sec_lpg_orig': 'values', 'flow_share_min_sec_naphtha_fos_orig': 'values', 'flow_share_max_sec_naphtha_fos_orig': 'values', 'flow_share_min_sec_heavy_fuel_oil_orig': 'values', 'flow_share_max_sec_heavy_fuel_oil_orig': 'values', 'flow_share_min_sec_refinery_gas': 'values', 'flow_share_max_sec_refinery_gas': 'values', 'cost_inv_p': 'values', 'cost_fix_p': 'range', 'cost_var_e': 'values', 'lifetime': 'range', 'wacc': ''}","srd_range_draft","{'capacity_p_inst': 'based on literature source, 106,3 Mt/year crude oil refining capacity  * 11,8 MWh/t (LHV) / 8000 h/year (asumption 760 hours downtime due to maintenance, linear decomissioning until 2040', 'ef_pri_crude_oil_emi_co2_f_x2x': 'literature value', 'ef_pri_crude_oil_emi_ch4_f_x2x': 'literature value from t/barrel to t/t_crude oil', 'ef_pri_crude_oil_emi_n2o_f_x2x': 'literature value from t/barrel to t/t_crude oil', 'conversion_factor_pri_crude_oil': 'literature value', 'flow_share_min_sec_gasoline_fos_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_gasoline_fos_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_diesel_fos_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_diesel_fos_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_kerosene_fos_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_kerosene_fos_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_lpg_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_lpg_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_naphtha_fos_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_naphtha_fos_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_heavy_fuel_oil_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_heavy_fuel_oil_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_refinery_gas': 'literature value', 'flow_share_max_sec_refinery_gas': 'literature value', 'cost_inv_p': 'total cost for a 8 mio. t crude oil per year refinery (because this is the approximate mean of refinery capacity per refinery in Germany) divided by the amount of crude oil input per year which was converted from t to MWh with LHV of crude oil and from MWh in MW with the divison by 8760h/a, monetary conversion from $2022 to €2021.', 'cost_fix_p': 'based on literature sources, for 8 mio. t/year refinery costs are between 2-5 $/bbl, with the amount of barrels per year and the cost of the refinery this equates to 2-4.5%CAPEX which was multiplied with the column cost_inv_p', 'cost_var_e': 'based on literature source assuming 1 $/bbl, conversion into €/MWh with LHV and monetary conversion from $2020 to €2021.', 'lifetime': 'ownAssumption', 'wacc': ''}","{'capacity_p_inst': '5stiftungarbeitundumweltderigbceBranchenausblick2030Transformationstrends2021', 'ef_pri_crude_oil_emi_co2_f_x2x': '5ecofysMethodologyFreeAllocation2009', 'ef_pri_crude_oil_emi_ch4_f_x2x': '5lavoieAssessingMethaneEmissions2017', 'ef_pri_crude_oil_emi_n2o_f_x2x': '5sciencebasedtargetsAnnexCH4Emissions2020', 'conversion_factor_pri_crude_oil': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_gasoline_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_gasoline_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_diesel_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_diesel_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_kerosene_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_kerosene_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_lpg_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_lpg_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_naphtha_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_naphtha_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_heavy_fuel_oil_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_heavy_fuel_oil_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_refinery_gas': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_refinery_gas': '5vaillancourtOilRefineries2014', 'cost_inv_p': '5favennecEconomicsOilRefining2022', 'cost_fix_p': '5favennecEconomicsOilRefining2022,5ieaIEARefineryMargins2012', 'cost_var_e': '5favennecEconomicsOilRefining2022', 'lifetime': 'ownAssumption', 'wacc': ''}",""
4,"DE",2030,"[70590.0]","[20.0, 820.0]","[0.0323529, 0.375]","[4.155475e-05, 0.000481657]","[1.1038]","[10.0]","[35.0]","[23.0]","[43.0]","[7.0]","[23.0]","[2.0]","[6.0]","[0.0]","[7.0]","[0.0]","[42.0]","[4.0]","[5.0]","[0.0]","[9697.0, 21820.0]","[0.5388]","[30.0, 50.0]","global_scalars.wacc","{'capacity_p_inst': 'values', 'ef_pri_crude_oil_emi_co2_f_x2x': 'range', 'ef_pri_crude_oil_emi_ch4_f_x2x': 'range', 'ef_pri_crude_oil_emi_n2o_f_x2x': 'range', 'conversion_factor_pri_crude_oil': 'values', 'flow_share_min_sec_gasoline_fos_orig': 'values', 'flow_share_max_sec_gasoline_fos_orig': 'values', 'flow_share_min_sec_diesel_fos_orig': 'values', 'flow_share_max_sec_diesel_fos_orig': 'values', 'flow_share_min_sec_kerosene_fos_orig': 'values', 'flow_share_max_sec_kerosene_fos_orig': 'values', 'flow_share_min_sec_lpg_orig': 'values', 'flow_share_max_sec_lpg_orig': 'values', 'flow_share_min_sec_naphtha_fos_orig': 'values', 'flow_share_max_sec_naphtha_fos_orig': 'values', 'flow_share_min_sec_heavy_fuel_oil_orig': 'values', 'flow_share_max_sec_heavy_fuel_oil_orig': 'values', 'flow_share_min_sec_refinery_gas': 'values', 'flow_share_max_sec_refinery_gas': 'values', 'cost_inv_p': 'values', 'cost_fix_p': 'range', 'cost_var_e': 'values', 'lifetime': 'range', 'wacc': ''}","srd_range_draft","{'capacity_p_inst': 'based on literature source, 106,3 Mt/year crude oil refining capacity  * 11,8 MWh/t (LHV) / 8000 h/year (asumption 760 hours downtime due to maintenance, linear decomissioning until 2040', 'ef_pri_crude_oil_emi_co2_f_x2x': 'literature value', 'ef_pri_crude_oil_emi_ch4_f_x2x': 'literature value from t/barrel to t/t_crude oil', 'ef_pri_crude_oil_emi_n2o_f_x2x': 'literature value from t/barrel to t/t_crude oil', 'conversion_factor_pri_crude_oil': 'literature value', 'flow_share_min_sec_gasoline_fos_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_gasoline_fos_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_diesel_fos_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_diesel_fos_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_kerosene_fos_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_kerosene_fos_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_lpg_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_lpg_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_naphtha_fos_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_naphtha_fos_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_heavy_fuel_oil_orig': 'literature value aggregated from minimum of flow share in different World regions currently', 'flow_share_max_sec_heavy_fuel_oil_orig': 'literature value aggregated from maximum of flow share in different World regions currently', 'flow_share_min_sec_refinery_gas': 'literature value', 'flow_share_max_sec_refinery_gas': 'literature value', 'cost_inv_p': 'total cost for a 8 mio. t crude oil per year refinery (because this is the approximate mean of refinery capacity per refinery in Germany) divided by the amount of crude oil input per year which was converted from t to MWh with LHV of crude oil and from MWh in MW with the divison by 8760h/a, monetary conversion from $2022 to €2021.', 'cost_fix_p': 'based on literature sources, for 8 mio. t/year refinery costs are between 2-5 $/bbl, with the amount of barrels per year and the cost of the refinery this equates to 2-4.5%CAPEX which was multiplied with the column cost_inv_p', 'cost_var_e': 'based on literature source assuming 1 $/bbl, conversion into €/MWh with LHV and monetary conversion from $2020 to €2021.', 'lifetime': 'ownAssumption', 'wacc': ''}","{'capacity_p_inst': '5stiftungarbeitundumweltderigbceBranchenausblick2030Transformationstrends2021', 'ef_pri_crude_oil_emi_co2_f_x2x': '5ecofysMethodologyFreeAllocation2009', 'ef_pri_crude_oil_emi_ch4_f_x2x': '5lavoieAssessingMethaneEmissions2017', 'ef_pri_crude_oil_emi_n2o_f_x2x': '5sciencebasedtargetsAnnexCH4Emissions2020', 'conversion_factor_pri_crude_oil': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_gasoline_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_gasoline_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_diesel_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_diesel_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_kerosene_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_kerosene_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_lpg_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_lpg_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_naphtha_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_naphtha_fos_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_heavy_fuel_oil_orig': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_heavy_fuel_oil_orig': '5vaillancourtOilRefineries2014', 'flow_share_min_sec_refinery_gas': '5vaillancourtOilRefineries2014', 'flow_share_max_sec_refinery_gas': '5vaillancourtOilRefineries2014', 'cost_inv_p': '5favennecEconomicsOilRefining2022', 'cost_fix_p': '5favennecEconomicsOilRefining2022,5ieaIEARefineryMargins2012', 'cost_var_e': '5favennecEconomicsOilRefining2022', 'lifetime': 'ownAssumption', 'wacc': ''}",""
