"id","region","year","ef_sec_diesel_syn_orig_emi_co2_neg_imp","cost_var_e","bandwidth_type","version","method","source","comment"
1,"DE",2021,"sedos_global_emission_factors.diesel_fuel","[200.8]","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'values'}","srd_range_draft","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'value for 2020 assumed from literature source, mean value calculated from differenct scenarios and regions, converted from ct/kWh in €/MWh and from €2017 to €2021.'}","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': '5pernerFutureCostElectricityBased2018'}",""
2,"DE",2024,"sedos_global_emission_factors.diesel_fuel","[186.7]","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'values'}","srd_range_draft","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'linear interpolation'}","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'ownCalculation'}",""
3,"DE",2027,"sedos_global_emission_factors.diesel_fuel","[172.7]","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'values'}","srd_range_draft","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'linear interpolation'}","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'ownCalculation'}",""
4,"DE",2030,"sedos_global_emission_factors.diesel_fuel","[158.6]","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'values'}","srd_range_draft","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'value from literature, mean value calculated from differenct scenarios and regions, converted from ct/kWh in €/MWh and from €2017 to €2021.'}","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': '5pernerFutureCostElectricityBased2018'}",""
5,"DE",2035,"sedos_global_emission_factors.diesel_fuel","[149.0]","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'values'}","srd_range_draft","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'linear interpolation'}","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'ownCalculation'}",""
6,"DE",2040,"sedos_global_emission_factors.diesel_fuel","[139.4]","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'values'}","srd_range_draft","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'linear interpolation'}","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': '5pernerFutureCostElectricityBased2018'}",""
7,"DE",2045,"sedos_global_emission_factors.diesel_fuel","[129.8]","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'values'}","srd_range_draft","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'linear interpolation'}","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'ownCalculation'}",""
8,"DE",2050,"sedos_global_emission_factors.diesel_fuel","[120.1]","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'values'}","srd_range_draft","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'value from literature, mean value calculated from differenct scenarios and regions, converted from ct/kWh in €/MWh and from €2017 to €2021.'}","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': '5pernerFutureCostElectricityBased2018'}",""
9,"DE",2060,"sedos_global_emission_factors.diesel_fuel","[120.1]","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'values'}","srd_range_draft","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'assumed to remain constant'}","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'ownAssumptions'}",""
10,"DE",2070,"sedos_global_emission_factors.diesel_fuel","[120.1]","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'values'}","srd_range_draft","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'assumed to remain constant'}","{'ef_sec_diesel_syn_orig_emi_co2_neg_imp': '', 'cost_var_e': 'ownAssumptions'}",""
